"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Hollywood Beauty Salon","2863 Mission St, San Francisco, CA 94110, USA","3.9","15","","(415) 756-5272","High"
"J J Hair Salon","2755 Mission St, San Francisco, CA 94110, USA","4.4","24","","(415) 821-7054","Medium"
"EL SALONCITO","2991 Mission St, San Francisco, CA 94110, USA","5","15","","(415) 374-7477","Medium"
"AMORE Hair Salon","3055 24th St, San Francisco, CA 94110, USA","4.8","41","","(415) 218-0422","Medium"
"Werk Salon","2867 Mission St, San Francisco, CA 94110, USA","4.5","34","http://www.werksaloninc.com/","(415) 655-9779","Low"
"Chely's Beauty Salon","2260 Mission St, San Francisco, CA 94110, USA","4.7","86","https://www.instagram.com/chelysbeautysalon_2060/?hl=en","(415) 410-4461","Low"
"Saviours Salon","3382 18th St, San Francisco, CA 94110, USA","5","28","http://saviourssalon.com/","(415) 962-7881","Low"
"Ginger Rubio Salon","600 Shotwell St, San Francisco, CA 94110, USA","4.8","94","http://www.gingerrubio.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing","(415) 829-7750","Low"
"Maisonry Salon","3412 22nd St, San Francisco, CA 94110, USA","5","84","https://www.maisonrysf.com/","(415) 619-6640","Low"
"Revamp Salon","3167 16th St, San Francisco, CA 94103, USA","4.8","152","http://revampsalonsf.com/","(415) 431-8267","Low"
"Mari's Beauty Salon","2806 24th St, San Francisco, CA 94110, USA","4.6","51","","(415) 757-0189","Low"
"Vanessa's Beauty Salon","3329 23rd St, San Francisco, CA 94110, USA","4.5","39","https://vlp294.wixsite.com/vanessasbeautysalon","(415) 285-1070","Low"
"Special Haircut","3007 Mission St, San Francisco, CA 94110, USA","4.8","48","https://us70.top/business/special-haircut-N_qjz4VE","(415) 282-7556","Low"
"Anna For Hair","3151 24th St #3153, San Francisco, CA 94110, USA","4.5","104","","(415) 824-8577","Low"
"Imagen Beauty Salon","3411 19th St, San Francisco, CA 94110, USA","4.6","53","","(415) 282-5699","Low"
"Principle Salon","3112 24th St, San Francisco, CA 94110, USA","5","63","https://www.principlesalon.com/","(415) 578-7223","Low"
"Angelica's Hair Salon","963 Valencia St, San Francisco, CA 94110, USA","4.6","56","","(415) 970-1546","Low"
"Georgia Rew For The Pretty Pretty Collective","600 Shotwell St, San Francisco, CA 94110, USA","4.7","72","http://theprettyprettycollective.com/","(917) 946-1814","Low"
"Great Image Salon","2009 Mission St, San Francisco, CA 94110, USA","4.2","69","","(415) 431-6872","Low"
"New look salon","3437 Mission St, San Francisco, CA 94110, USA","4.7","56","","(415) 648-3391","Low"
