"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Kurosaki & Kinoshita","1000 Corporate Center Dr, Monterey Park, CA 91754","2.8","4","https://www.yelp.com/biz/kurosaki-and-kinoshita-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 266-7250","Medium"
"Reliable Tax Services","3417 W Beverly Blvd, Montebello, CA 90640","4","13","https://www.yelp.com/biz/reliable-tax-services-montebello?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 722-8258","Medium"
"Amer Tax Service","2099 S Atlantic Blvd, Ste D, Monterey Park, CA 91754","4.1","13","https://www.yelp.com/biz/amer-tax-service-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 262-8889","Medium"
"Cheung & Chu, CPA","111 N Atlantic Blvd, Ste 117, Monterey Park, CA 91754","1","5","https://www.yelp.com/biz/cheung-and-chu-cpa-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 308-1780","Medium"
"Philip K Yeung, CPA","240 S Garfield Ave, Ste A, Monterey Park, CA 91755","4","41","https://www.yelp.com/biz/philip-k-yeung-cpa-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 569-0011","Medium"
"Armendariz Tax & Financial","3307 W Beverly Blvd, Montebello, CA 90640","2.4","25","https://www.yelp.com/biz/armendariz-tax-and-financial-montebello?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 721-8297","Medium"
"Tax Masters Enterprise, Inc.","5623 E Beverly Blvd, Los Angeles, CA 90022","3.9","13","https://www.yelp.com/biz/tax-masters-enterprise-inc-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 722-5058","Medium"
"Black Inc Tax Services","742 S Atlantic Blvd, East Los Angeles, CA 90022","4.7","443","https://www.yelp.com/biz/black-inc-tax-services-east-los-angeles-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 263-3399","Low"
"Exact Tax","1024 E Garvey Ave, Monterey Park, CA 91755","4.7","328","https://www.yelp.com/biz/exact-tax-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 573-0788","Low"
"Maria's Professional Services","506 S Atlantic Blvd, East Los Angeles, CA 90022","4.6","10","https://www.yelp.com/biz/marias-professional-services-east-los-angeles-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 526-8089","Low"
