"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"American Bookkeeping Company","5441 E Beverly Blvd Ste G, Los Angeles, CA 90022, USA","4","16","","(323) 589-5205","High"
"Lulu's Tax Services","3227 E 2nd St, Los Angeles, CA 90063, USA","4.6","10","","(323) 263-3936","Medium"
"Horta Bookkeeping Services","3712 E Cesar E Chavez Ave, Los Angeles, CA 90063, USA","4.5","30","","(323) 263-2993","Medium"
"A & G Income Tax","East Los Angeles, CA 90022, USA","5","2","","","Medium"
"Salvador Tax Services","5205 E Olympic Blvd # B, Los Angeles, CA 90022, USA","4.5","8","","(323) 928-0482","Medium"
"Tax Masters Enterprise Inc","5623 E Beverly Blvd, Los Angeles, CA 90022, USA","4.7","19","","(323) 722-5058","Medium"
"Latin American Tax","6172 Whittier Blvd, Los Angeles, CA 90022, USA","5","1","","(323) 720-1666","Medium"
"Black Inc Tax Services","742 S Atlantic Blvd, East Los Angeles, CA 90022, USA","4.8","462","http://www.blackinctax.com/","(323) 263-3399","Low"
"Eastway Tax Service","4000 Whittier Blvd, Los Angeles, CA 90023, USA","5","11","https://splinternetmarketing.com/local-pros/california/los-angeles/eastway-tax-service/","(323) 263-5193","Low"
"Professional Income Tax","3416 Whittier Blvd, Los Angeles, CA 90023, USA","5","260","https://professionalincometax.com/","(323) 268-1949","Low"
"Alpha & Omega, Income Tax & Accounting Services, LLC","1919 Vineburn Ave Suite 8, Los Angeles, CA 90032, USA","5","32","http://www.victormmartinez.net/","(323) 247-8032","Low"
"Latino Income Tax Services","4559 Whittier Blvd, East Los Angeles, CA 90022, USA","4.9","461","","(323) 780-8040","Low"
"Superior Tax Services","3854 E Cesar E Chavez Ave, Los Angeles, CA 90063, USA","4.9","14","http://www.superiortaxla.com/","(323) 981-9082","Low"
"Corral's Income Tax","4228 E Cesar E Chavez Ave, Los Angeles, CA 90063, USA","5","449","","(323) 796-1249","Low"
"RE Tax Service","5634 E Beverly Blvd, East Los Angeles, CA 90022, USA","4.4","20","http://reincometax.com/","(323) 722-4550","Low"
"JCP TAX Services","5331 E Olympic Blvd #6, Los Angeles, CA 90022, USA","4.9","69","http://www.jcptaxservices.com/","(323) 213-3237","Low"
"Jeff Huang CPA","1641 W Main St #218, Alhambra, CA 91801, USA","4.8","31","http://www.jhgroupcpa.com/","(626) 943-2888","Low"
"Whittier Tax Services","4588 Whittier Blvd, Los Angeles, CA 90022, USA","5","51","","(323) 597-1595","Low"
"AAA American CPA","108 N Ynez Ave STE 204, Monterey Park, CA 91754, USA","4.6","10","http://aaaamericancpa.com/","(626) 741-1750","Low"
"Elizondo & Associates","3532 W Beverly Blvd, Montebello, CA 90640, USA","5","12","http://www.e1040a.com/","(323) 869-0010","Low"
