"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Lima Accounting Services","747 Glendora Ave, La Puente, CA 91744, USA","3.4","5","","(626) 369-7141","High"
"Casa Blanca Tax & Financial Services","635 Glendora Ave, La Puente, CA 91744, USA","3.6","9","","(562) 674-3261","High"
"Taxes Aldia","13702 Amar Rd, La Puente, CA 91744, USA","4.8","25","","(323) 875-8887","Medium"
"ONE HOUR TAXES","15850 Main St, La Puente, CA 91744, USA","4.8","14","","(626) 336-0700","Medium"
"C & H Business Services","1114 N Hacienda Blvd, La Puente, CA 91744, USA","5","8","","(626) 917-1122","Medium"
"Fiesta Auto Insurance & Tax Service","1269 N Hacienda Blvd, La Puente, CA 91744, USA","5","11","","(626) 640-4199","Medium"
"Gonzalez Income Tax Service","15807 Main St, La Puente, CA 91744, USA","4.3","11","","(626) 333-9794","Medium"
"Lima Accounting Services","16015 Old Valley Blvd, La Puente, CA 91744, USA","5","1","","(626) 369-7141","Medium"
"La Puente Income Tax & Bookkeeping Service","15816 Main St, La Puente, CA 91744, USA","4.9","161","http://www.lpitb.com/","(626) 336-2484","Low"
"My Tax Lady","826 N Hacienda Blvd, La Puente, CA 91744, USA","4.8","52","https://mytaxlady-llc.com/","(626) 968-7414","Low"
"Mr. Taxes LLC","17428 Boulay St, La Puente, CA 91744, USA","5","46","https://mrtaxesllc.com/","(323) 841-9428","Low"
"Brysani Corporation","13963 Amar Rd # K, La Puente, CA 91746, USA","5","8","http://www.brysani.com/","(626) 813-1010","Low"
"Zuniga Tax Service","15112 Clark Ave Suite C, La Puente, CA 91745, USA","5","32","https://zunigataxservice.org/","(626) 934-1953","Low"
"Pelletier & Leo, LLP","13300 Crossroads Pkwy N #170, City of Industry, CA 91746, USA","5","54","https://www.pnl.cpa/","(626) 839-2400","Low"
"Express Tax","762 Glendora Ave Ste B, La Puente, CA 91744, USA","5","18","https://www.expresstaxbusiness.net/","(626) 219-8348","Low"
"Mi Oficina Income Tax","15717 Amar Rd, La Puente, CA 91744, USA","4.9","103","https://mioficinaincometax.com/","(626) 336-8086","Low"
"Antoniette's Income Tax Services","13701 Amar Rd, Bassett, CA 91746, USA","4.1","61","http://ahstax.com/","(626) 919-1384","Low"
"Hacienda Insurance Services","1124 N Hacienda Blvd, La Puente, CA 91744, USA","4.9","365","https://www.haciendainsurance.com/","(626) 918-2021","Low"
"CB ARTURO ACCOUNTING","667 Frandale Ave, La Puente, CA 91744, USA","5","2","http://www.cbarturo.com/","(213) 247-0596","Low"
"Camilo Castro Bookkeeping/Tax","15558 Amar Rd, La Puente, CA 91744, USA","5","2","http://www.camilocastro.tax/","(626) 369-4496","Low"
