"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Casa Blanca Tax & Financial Services","635 Glendora Ave, La Puente, CA 91744","3.9","43","https://www.yelp.com/biz/casa-blanca-tax-and-financial-services-la-puente-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 674-3261","Medium"
"Camilo Castro Tax and bookkeeping service","15558 Amar Rd, City of Industry, CA 91744","0","0","https://www.yelp.com/biz/camilo-castro-tax-and-bookkeeping-service-city-of-industry?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 369-4496","Medium"
"C & H Business Service","1114 1/2 N Hacienda Blvd, La Puente, CA 91744","4","8","https://www.yelp.com/biz/c-and-h-business-service-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 917-1122","Medium"
"Express Tax","762 Glendora Ave, Ste B, La Puente, CA 91744","4.7","38","https://www.yelp.com/biz/express-tax-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 219-8348","Low"
"NN Tax and Live Scan Services","1853 N Hacienda Blvd, La Puente, CA 91744","4.6","10","https://www.yelp.com/biz/nn-tax-and-live-scan-services-la-puente-5?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 430-6634","Low"
"My Tax Lady","826 N Hacienda Blvd, La Puente, CA 91744","5","21","https://www.yelp.com/biz/my-tax-lady-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 968-7414","Low"
"James S. Wang, CPA","307 Banbridge Ave, La Puente, CA 91744","5","4","https://www.yelp.com/biz/james-s-wang-cpa-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 518-2342","Low"
"Antoniette's Income Tax Service","13701 Amar Rd, La Puente, CA 91746","3.8","61","https://www.yelp.com/biz/antoniettes-income-tax-service-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 919-1384","Low"
"Brysani Corporation","13963 Amar Rd, Ste K, La Puente, CA 91746","5","8","https://www.yelp.com/biz/brysani-corporation-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 813-1010","Low"
"Yen Ling Chen, CPA","17595 Almahurst St, Ste 207, City of Industry, CA 91748","4.5","38","https://www.yelp.com/biz/yen-ling-chen-cpa-city-of-industry?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 839-9394","Low"
