"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"County Farm Advisor","4800 E Cesar E Chavez Ave, Los Angeles, CA 90022","0","0","https://www.yelp.com/biz/county-farm-advisor-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 260-2267","Medium"
"Armendariz Tax & Financial","3307 W Beverly Blvd, Montebello, CA 90640","2.4","25","https://www.yelp.com/biz/armendariz-tax-and-financial-montebello?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 721-8297","Medium"
"Banc of California","2133 W Beverly Blvd, Montebello, CA 90640","4.1","15","https://www.yelp.com/biz/banc-of-california-montebello?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 724-8807","Medium"
"MYZ Financial & Insurance","1721 W Garvey Ave, Ste E, Alhambra, CA 91803","5","6","https://www.yelp.com/biz/myz-financial-and-insurance-alhambra-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 782-7714","Low"
"Michelle Tascoe Financial Coaching","Los Angeles, CA 90004","4.9","63","https://www.yelp.com/biz/michelle-tascoe-financial-coaching-los-angeles-8?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(209) 288-9956","Low"
"Impact Fiduciary","21 Miller Aly, Ste 210, Pasadena, CA 91105","5","35","https://www.yelp.com/biz/impact-fiduciary-pasadena?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 615-1427","Low"
"Gerber Kawasaki Wealth & Investment Management","2437 Main St, Santa Monica, CA 90405","4.8","218","https://www.yelp.com/biz/gerber-kawasaki-wealth-and-investment-management-santa-monica?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(310) 399-6397","Low"
"Black Inc Tax Services","742 S Atlantic Blvd, East Los Angeles, CA 90022","4.7","443","https://www.yelp.com/biz/black-inc-tax-services-east-los-angeles-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 263-3399","Low"
"Fix Your Credit Consulting","4741 Laurel Canyon Blvd, Ste 205, Studio City, CA 91607","4.9","239","https://www.yelp.com/biz/fix-your-credit-consulting-studio-city-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(877) 212-2450","Low"
"Exact Tax","1024 E Garvey Ave, Monterey Park, CA 91755","4.7","328","https://www.yelp.com/biz/exact-tax-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 573-0788","Low"
"Whittier Tax Services","4588 Whittier Blvd, Los Angeles, CA 90022","4.9","11","https://www.yelp.com/biz/whittier-tax-services-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 597-1595","Low"
"Jeff Huang, CPA","1641 W Main St, Ste 218, Alhambra, CA 91801","4.4","119","https://www.yelp.com/biz/jeff-huang-cpa-alhambra-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 943-2888","Low"
"Pristine Financial Services","Hazard, CA 90063","5","1","https://www.yelp.com/biz/pristine-financial-services-hazard-5?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(424) 219-8952","Low"
