"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Valuerize Financial","13909 Amar Rd, La Puente, CA 91746, USA","","","","(626) 244-9523","High"
"CKS Investments Inc","15135 Amar Rd, La Puente, CA 91744, USA","","","","(626) 919-5126","High"
"Landstar Financial","15626 Rausch Rd # D, City of Industry, CA 91744, USA","","","","(626) 333-0881","High"
"Taxes Aldia","13702 Amar Rd, La Puente, CA 91744, USA","4.8","25","","(323) 875-8887","Medium"
"Cristy's Immigration Services","14258 Nelson Ave E, La Puente, CA 91746, USA","4.3","9","","(626) 336-6462","Medium"
"U.S. Bank – Wealth Management Banker: Irwin Salas","2040 S Hacienda Blvd, Hacienda Heights, CA 91745, USA","","","https://www.usbank.com/wealth-management/find-an-advisor/ca/hacienda-heights/irwin-salas/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing","(626) 538-9364","Medium"
"Hacienda Insurance Services","1124 N Hacienda Blvd, La Puente, CA 91744, USA","4.9","365","https://www.haciendainsurance.com/","(626) 918-2021","Low"
"My Tax Lady","826 N Hacienda Blvd, La Puente, CA 91744, USA","4.8","52","https://mytaxlady-llc.com/","(626) 968-7414","Low"
"Global Wealth Insurance Services","1559 E Amar Rd unit m, West Covina, CA 91792, USA","5","33","http://www.globalwealthinsuranceservices.com/","(855) 955-1800","Low"
"Express Tax","762 Glendora Ave Ste B, La Puente, CA 91744, USA","5","18","https://www.expresstaxbusiness.net/","(626) 219-8348","Low"
"The Agency, LLC.","1315 W Covina Pkwy, West Covina, CA 91790, USA","4.9","294","http://www.joinagencyla.com/","(626) 337-0111","Low"
"Mr. Taxes LLC","17428 Boulay St, La Puente, CA 91744, USA","5","46","https://mrtaxesllc.com/","(323) 841-9428","Low"
"Ian Calderon for Assembly","15330 Amar Rd, La Puente, CA 91744, USA","5","1","http://ianccalderon.com/","","Low"
"PROTAX Financial Services","1520 W Cameron Ave # 252, West Covina, CA 91790, USA","5","28","https://protaxfs.com/","(626) 962-8900","Low"
"Zen Tax and Financial Advisors","1710 W Cameron Ave # 202, West Covina, CA 91790, USA","4.6","22","http://zentaxadvisors.com/contact/","(626) 587-0532","Low"
"Freeway Insurance","1443 1/2 N Hacienda Blvd, La Puente, CA 91744, USA","4.9","591","https://locations.freeway.com/freeway-insurance-la-puente-ca-91744?utm_medium=directory&utm_source=google&utm_campaign=LAPU_LaPuente_CA","(626) 470-9564","Low"
"Spiritual Guidance Center","1840 N Hacienda Blvd, La Puente, CA 91744, USA","5","2","https://spiritualguidancecenter.rankingup101.com/","(626) 252-4425","Low"
"Beacon Pointe Advisors","123 S Marengo Ave #200, Pasadena, CA 91101, USA","5","6","https://beaconpointe.com/financial-advisors/ca/pasadena/?utm_source=google&utm_medium=GBP","(626) 795-3062","Low"
"Antoniette's Income Tax Services","13701 Amar Rd, Bassett, CA 91746, USA","4.1","61","http://ahstax.com/","(626) 919-1384","Low"
"Mission Wealth","1212 Broadway Plaza Suite 17 & 20, Walnut Creek, CA 94596, USA","5","2","https://missionwealth.com/location/walnut-creek/","(415) 418-3450","Low"
