"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Application Advisor Services","322 N Azusa Ave, Ste 207, La Puente, CA 91744","1","19","https://www.yelp.com/biz/application-advisor-services-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 965-8124","Medium"
"Advisor Holly","Baldwin Park, CA 91706","0","0","https://www.yelp.com/biz/advisor-holly-baldwin-park-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 597-6019","Medium"
"Casa Blanca Tax & Financial Services","635 Glendora Ave, La Puente, CA 91744","3.9","43","https://www.yelp.com/biz/casa-blanca-tax-and-financial-services-la-puente-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 674-3261","Medium"
"Edward Jones - Financial Advisor: Cirenia Amador","1059 Aldgate Ave, La Puente, CA 91744","0","0","https://www.yelp.com/biz/edward-jones-financial-advisor-cirenia-amador-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 256-6998","Medium"
"Smilin Faces Enterprises","La Puente, CA 91747","3","6","https://www.yelp.com/biz/smilin-faces-enterprises-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(310) 350-8697","Medium"
"Cerda Munoz Advisors","7720 Painter Ave, Ste A, Whittier, CA 90602","4.9","20","https://www.yelp.com/biz/cerda-munoz-advisors-whittier?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 222-4525","Low"
"Michelle Tascoe Financial Coaching","Los Angeles, CA 90004","4.9","63","https://www.yelp.com/biz/michelle-tascoe-financial-coaching-los-angeles-8?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(209) 288-9956","Low"
"Trilogy Financial Service","1000 Lakes Dr, Ste 325, West Covina, CA 91790","4.3","7","https://www.yelp.com/biz/trilogy-financial-service-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 918-5670","Low"
"Chase Bank","925 N Hacienda Blvd, La Puente, CA 91744","1.8","60","https://www.yelp.com/biz/chase-bank-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 336-4557","Low"
"Xel Advisors","337 N Vineyard Ave, Ste 230, Ontario, CA 91764","5","69","https://www.yelp.com/biz/xel-advisors-ontario-11?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 750-0462","Low"
