"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Law Office Of Richard Hernandez & Associates","818 W Cameron Ave, West Covina, CA 91790, USA","3.7","9","","(626) 962-6791","High"
"Law Offices-Larry H Parker Inc","La Puente, CA 91746, USA","3.4","5","","(626) 333-0071","High"
"​Law Office of Eliza Szeto","15708 Pocono St, La Puente, CA 91744, USA","1","1","","(626) 818-5984","High"
"Gilbert Quinones Law Offices","206 S Stimson Ave, La Puente, CA 91744, USA","3","4","https://www.gqlawyer.net/","(626) 937-6320","Medium"
"Ensberg Law Group","1609 W Garvey Ave N, West Covina, CA 91790, USA","3.7","18","https://www.businessrealestateattorneyensberg.com/contact/","(626) 813-3744","Medium"
"The Law Office of Ricardo Gomez","15924 Halliburton Rd, Hacienda Heights, CA 91745, USA","4","5","https://www.thelawofficeofricardogomez.com/","(626) 723-4187","Medium"
"Law Offices Of Chris Noriega","201 N 1st St, La Puente, CA 91744, USA","5","93","http://www.noriegalawcriminaldefense.com/","(626) 336-8080","Low"
"The Law Office of Norma Hernandez","202 S Stimson Ave, La Puente, CA 91744, USA","4.8","77","http://normahernandezlaw.com/","(626) 427-0768","Low"
"Lem Garcia Law","1720 W Cameron Ave #210, West Covina, CA 91790, USA","4.9","305","https://www.lemgarcialaw.com/?utm_source=gbp&utm_campaign=West+Covina","(626) 777-2211","Low"
"Fernandez Law Firm, APC","204 S Stimson Ave, La Puente, CA 91744, USA","4.6","11","http://www.rfernandezlaw.com/","(626) 315-7732","Low"
"Law Office Of Alma D. Puente, APLC","11001 Main St #228, El Monte, CA 91731, USA","4.8","57","http://www.apuentelaw.com/","(626) 442-9900","Low"
"FGC Law, P.C.","1730 W Cameron Ave #200, West Covina, CA 91790, USA","4.9","45","http://www.fgclawcorp.com/","(310) 560-6800","Low"
"Braff Law Car Accident Personal Injury Lawyers","13911 Amar Rd Unit H, La Puente, CA 91746, USA","5","28","https://brafflawfirm.com/personal-injury-lawyers-la-puente/?utm_source=gbp&utm_medium=organic&utm_campaign=la_puente","(626) 598-5115","Low"
"L. Dominic Chacon","15924 Halliburton Rd, Hacienda Heights, CA 91745, USA","4.7","13","https://www.westcovina-lawyers.com/","(626) 839-8852","Low"
"Law Offices of Lee & Wong","258 E Badillo St B, Covina, CA 91723, USA","4.8","36","http://wlolegal.com/","(626) 699-1112","Low"
"Law Offices of Guadalupe T. Garcia","1043 S Glendora Ave Suite H, West Covina, CA 91790, USA","4.8","32","https://apps.calbar.ca.gov/attorney/Licensee/Detail/208313","(626) 214-1710","Low"
"Wallin & Klarich - Criminal Defense Attorneys","The Calvo Building, 1619 W Garvey Ave N #107, West Covina, CA 91790, USA","5","10","https://www.wklaw.com/wklaw-west-covina.html?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing&utm_content=west-covina-office","(626) 784-6460","Low"
"Law Offices of Nick Sage","2440 S Hacienda Blvd, Hacienda Heights, CA 91745, USA","5","8","https://apps.calbar.ca.gov/attorney/Licensee/Detail/298972","(213) 378-6888","Low"
"Law Office of Bernard Pang","2440 S Hacienda Blvd STE 121, Hacienda Heights, CA 91745, USA","4.5","32","https://bernardpang.com/","(626) 581-3985","Low"
"Preferred Services","843 S Glendora Ave, West Covina, CA 91790, USA","4.9","107","","(626) 918-7555","Low"
