"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"LP Perk Cafe","501 N Glendora Ave, La Puente, CA 91744","4","8","https://www.yelp.com/biz/lp-perk-cafe-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 774-4293","Medium"
"Cafe FC","2017 S Hacienda Blvd, Hacienda Heights, CA 91745","4.5","338","https://www.yelp.com/biz/cafe-fc-hacienda-heights-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","","Low"
"Dumbstruck Coffee - City of Industry","18508 Gale Ave, Ste B, City of Industry, CA 91748","4.5","404","https://www.yelp.com/biz/dumbstruck-coffee-city-of-industry-city-of-industry-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 476-4733","Low"
"Local Coffee Roasters","987 South Glendora Ave, Unit 3, West Covina, CA 91790","4.3","114","https://www.yelp.com/biz/local-coffee-roasters-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 502-1434","Low"
"Monday to Sunday Dessert Cafe","989 S Glendora Ave, West Covina, CA 91790","3.8","129","https://www.yelp.com/biz/monday-to-sunday-dessert-cafe-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(840) 242-5483","Low"
"Cafe Valer","112 Plaza Dr, Ste 1032, West Covina, CA 91790","4.6","1101","https://www.yelp.com/biz/cafe-valer-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 337-6622","Low"
"Danzzan","18340 Colima Rd, Ste 1C, Rowland Heights, CA 91748","4.1","245","https://www.yelp.com/biz/danzzan-rowland-heights-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 854-8818","Low"
"Hide Out Cafe","18888 Labin Ct, Ste C106, Rowland Heights, CA 91748","4.1","1332","https://www.yelp.com/biz/hide-out-cafe-rowland-heights-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 986-4832","Low"
"Café LOVE BOX","2557 S Hacienda Blvd, Hacienda Heights, CA 91745","4.3","395","https://www.yelp.com/biz/caf%C3%A9-love-box-hacienda-heights-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 330-4959","Low"
"Tierra Mia Coffee","2301 S Azusa Ave, West Covina, CA 91792","3.8","456","https://www.yelp.com/biz/tierra-mia-coffee-west-covina-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 667-7250","Low"
"Smoking Tiger Coffee Lab","1015 S Nogales St, Ste 105, Rowland Heights, CA 91748","4.4","110","https://www.yelp.com/biz/smoking-tiger-coffee-lab-rowland-heights?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 363-4006","Low"
"Outpost Coffee","20657 Golden Springs Dr, Diamond Bar, CA 91789","4.4","156","https://www.yelp.com/biz/outpost-coffee-diamond-bar-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 655-6103","Low"
