"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"A V Family Chiropractic","525 N Azusa Ave, Ste 108, La Puente, CA 91744","3.3","12","https://www.yelp.com/biz/a-v-family-chiropractic-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 336-5551","Medium"
"Garen Vartanian, DC","1228 N Hacienda Blvd, La Puente, CA 91744","4.7","25","https://www.yelp.com/biz/garen-vartanian-dc-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 918-9542","Low"
"Nick Perez Chiropractic","838 N Hacienda Blvd, Ste B, La Puente, CA 91744","4.9","11","https://www.yelp.com/biz/nick-perez-chiropractic-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 369-3770","Low"
"BODY DETOX","811 S Glendora Ave, West Covina, CA 91790","4.9","117","https://www.yelp.com/biz/body-detox-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 960-5096","Low"
"Dr Kwun Man Simon Yu Chiropractic","855 N Lark Ellen Ave, Ste M, West Covina, CA 91791","5","30","https://www.yelp.com/biz/dr-kwun-man-simon-yu-chiropractic-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 878-5233","Low"
"Fratto Hopstock Chiropractic","838 N Hacienda Blvd, Ste B, La Puente, CA 91744","4.7","66","https://www.yelp.com/biz/fratto-hopstock-chiropractic-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 369-3770","Low"
"The Joint Chiropractic","2260 Azusa Ave, Ste C, West Covina, CA 91792","4.5","318","https://www.yelp.com/biz/the-joint-chiropractic-west-covina-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 317-8704","Low"
"Balance Wellness Center","1710 W Cameron Ave, Ste 110, West Covina, CA 91790","4.9","44","https://www.yelp.com/biz/balance-wellness-center-west-covina-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 813-7500","Low"
"Covina Chiropractic","461 W Badillo St, Covina, CA 91723","4.9","401","https://www.yelp.com/biz/covina-chiropractic-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 966-4469","Low"
"ChiroMedix ","1740 W Cameron Ave, Ste 100, West Covina, CA 91790","5","27","https://www.yelp.com/biz/chiromedix-west-covina-10?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 669-4559","Low"
"Rabadi Wellness Center","1433 W Merced Ave, Ste 321, West Covina, CA 91790","5","26","https://www.yelp.com/biz/rabadi-wellness-center-west-covina-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 919-0191","Low"
"Revive Chiropractic","3120 S Hacienda Blvd, Ste 102, Hacienda Heights, CA 91745","5","35","https://www.yelp.com/biz/revive-chiropractic-hacienda-heights?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 773-2510","Low"
"Natural Wonders Healthcare","1250 S Sunset Ave, Ste 350, West Covina, CA 91790","4.8","49","https://www.yelp.com/biz/natural-wonders-healthcare-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 377-0753","Low"
"Total Health Chiropractic","17870 Castleton St, Ste 112, City of Industry, CA 91748","5","70","https://www.yelp.com/biz/total-health-chiropractic-city-of-industry?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 810-9191","Low"
"Chiropractic First","20272 Carrey Rd, Walnut, CA 91789","4.7","250","https://www.yelp.com/biz/chiropractic-first-walnut?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 979-1868","Low"
"Jimmy Wu , DC","2440 S Hacienda Blvd, Ste 132, Hacienda Heights, CA 91745","4.8","23","https://www.yelp.com/biz/jimmy-wu-dc-hacienda-heights?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 330-8899","Low"
"Crypto Chiropractic Clinic","550 S Eremland Dr, Covina, CA 91723","4.8","44","https://www.yelp.com/biz/crypto-chiropractic-clinic-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 332-7829","Low"
"Lateef Chiropractic","2149 E Garvey Ave N, Ste A-5, West Covina, CA 91791","4.9","101","https://www.yelp.com/biz/lateef-chiropractic-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 233-6366","Low"
"Toni Ward, DC","15718 E Gale Ave, Hacienda Heights, CA 91745","5","10","https://www.yelp.com/biz/toni-ward-dc-hacienda-heights?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 333-8512","Low"
"Agape Chiropractic","14540 Ramona Blvd, Ste 211, Baldwin Park, CA 91706","4.6","30","https://www.yelp.com/biz/agape-chiropractic-baldwin-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 960-2346","Low"
