"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Jimmy Yu, DC","4700 Whittier Blvd, Los Angeles, CA 90022","0","0","https://www.yelp.com/biz/jimmy-yu-dc-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 735-9373","Medium"
"Ricardo Garcia Chiropractic Clinic","1260 S Atlantic Blvd, Los Angeles, CA 90022","3.4","5","https://www.yelp.com/biz/ricardo-garcia-chiropractic-clinic-los-angeles-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 780-1838","Medium"
"Tusiri Family Chiropractic Clinic","941 S Atlantic Blvd, Ste 103, Monterey Park, CA 91754","3.2","9","https://www.yelp.com/biz/tusiri-family-chiropractic-clinic-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 282-2522","Medium"
"Parehjan & Vartzar Chiropractic","5709 Whittier Blvd, Los Angeles, CA 90022","2","1","https://www.yelp.com/biz/parehjan-and-vartzar-chiropractic-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 266-7800","Medium"
"Jason Ngan Chiropractic","880 S Atlantic Blvd, Ste 208, Monterey Park, CA 91754","4.8","30","https://www.yelp.com/biz/jason-ngan-chiropractic-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 872-6337","Low"
"K & H Inspirational Chiropractic","328 N Garfield Ave, Ste D, Monterey Park, CA 91754","4.9","149","https://www.yelp.com/biz/k-and-h-inspirational-chiropractic-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 569-0388","Low"
"The Joint Chiropractic","2172 S Atlantic Blvd, Monterey Park, CA 91754","4","91","https://www.yelp.com/biz/the-joint-chiropractic-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 673-3129","Low"
"Collazo Chiropractic","400 N Ford Blvd, Los Angeles, CA 90022","4.6","44","https://www.yelp.com/biz/collazo-chiropractic-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 262-9222","Low"
"Holmes Chiropractic","257 W Pomona Blvd, Monterey Park, CA 91754","4.7","46","https://www.yelp.com/biz/holmes-chiropractic-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 728-3101","Low"
"Trilogy Health & Wellness","2537 W Beverly Blvd, Ste 104, Montebello, CA 90640","4.9","24","https://www.yelp.com/biz/trilogy-health-and-wellness-montebello?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 545-2880","Low"
"Valdez Chiropractic","1615 W Whittier Blvd, Montebello, CA 90640","4.7","39","https://www.yelp.com/biz/valdez-chiropractic-montebello?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 722-3300","Low"
