"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"George G. Rodriguez, D.C.","3612 1st St, Los Angeles, CA 90063, USA","4","12","","(323) 264-9163","High"
"Atlantic Chiropractic Center","2172 S Atlantic Blvd, Commerce, CA 90040, USA","5","9","","(323) 261-6131","Medium"
"Abel Avalos y familia mechanic de musculos","5322 Whittier Blvd, East Los Angeles, CA 90022, USA","5","31","","(323) 267-1972","Medium"
"Ricardo Garcia Chiropractic Clinic","1260 S Atlantic Blvd, Los Angeles, CA 90022, USA","4.6","51","https://www.drgarciachiropractic.com/","(323) 780-1838","Low"
"Dr. Maria Preciado Chiropractic Centers","3821 1st St, Los Angeles, CA 90063, USA","4.7","31","http://drmariapreciado.com/","(323) 263-0075","Low"
"Collazo Chiropractic","400 N Ford Blvd, Los Angeles, CA 90022, USA","4.9","8","http://collazochiropractic.net/","(323) 262-9222","Low"
"The LA Chiropractor","2080 Century Pk E #1503, Los Angeles, CA 90067, USA","5","422","http://www.thelachiropractor.com/","(310) 478-7775","Low"
"Parehjan & Vartzar Chiropractor Inc.","5709 Whittier Blvd, East Los Angeles, CA 90022, USA","5","4","http://pvchiroinc.com/","(323) 266-7800","Low"
"B.E.S.T. Chiropractic Clinic","430 E 2nd St, Los Angeles, CA 90012, USA","4.7","33","http://www.bestclinicla.com/","(213) 617-2228","Low"
"Valdez Chiropractic Office","1615 W Whittier Blvd, Montebello, CA 90640, USA","4.9","30","http://www.valdezchiropractic.com/","(323) 722-3300","Low"
"Dilanchian Chiropractic Clinic-East LA","280 S Atlantic Blvd, East Los Angeles, Los Angeles, CA 90022, USA","5","2","http://drdilanchian.com/","(213) 385-3333","Low"
"Holmes Chiropractic","257 W Pomona Blvd, Monterey Park, CA 91754, USA","4.9","121","http://www.thoracicpark.com/","(323) 728-3101","Low"
"The Joint Chiropractic","2172 S Atlantic Blvd, Monterey Park, CA 91754, USA","4.5","245","https://www.thejoint.com/california/monterey-park/monterey-park-31153","(323) 673-3129","Low"
"Jason Ngan Chiropractic Corporation","880 S Atlantic Blvd #208, Monterey Park, CA 91754, USA","5","27","https://www.nganchiropractic.com/","(626) 872-6337","Low"
"Downtown Live Chiropractic","1100 Flower St Suite 2100, Los Angeles, CA 90015, USA","4.9","488","http://www.downtownlivechiropractic.com/","(213) 744-1099","Low"
"Spectrum Medical Group Los Angeles Knee Specialist & Chiropractor","5211 E Washington Blvd UNIT 18, Los Angeles, CA 90040, USA","4.6","132","https://www.spectrummedical.org/chiropractor-east-los-angeles","(323) 606-7679","Low"
"Elite Sports Medicine Montebello","1934 W Beverly Blvd, Montebello, CA 90640, USA","4.8","72","https://www.elitesportsdc.com/","(323) 400-6262","Low"
"SoCal Injury Care - East LA","5301 Whittier Blvd Lower Level - Atrium 1, Los Angeles, CA 90022, USA","5","1","https://socalinjurycare.com/","(323) 430-4055","Low"
"K & H Inspirational Chiropractic","328 N Garfield Ave suite d, Monterey Park, CA 91754, USA","4.9","29","http://khchiro.com/","(626) 569-0388","Low"
"Camarillo Chiropractic & Rehab","625 W College St STE 206, Los Angeles, CA 90012, USA","5","93","http://camarillochirola.com/","(213) 413-2225","Low"
