"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Re Gonzalez Construction","La Puente, CA 91744","3","4","https://www.yelp.com/biz/re-gonzalez-construction-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(818) 744-3477","Medium"
"JDG Construction","La Puente, CA 91744","3.9","9","https://www.yelp.com/biz/jdg-construction-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 217-9197","Medium"
"Prime Team Builders","147 W Rte 66, Ste 439, Glendora, CA 91740","5","96","https://www.yelp.com/biz/prime-team-builders-glendora?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(855) 477-7054","Low"
"BH Remodeling","18351 Colima Rd, Ste 1007, Rowland Heights, CA 91748","4.8","112","https://www.yelp.com/biz/bh-remodeling-rowland-heights-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 228-9714","Low"
"Jairo Mora","441 Dalesford Dr, La Puente, CA 91744","4.6","43","https://www.yelp.com/biz/jairo-mora-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 283-1967","Low"
"Luc's Construction","Monterey Park, CA 91755","4.8","33","https://www.yelp.com/biz/lucs-construction-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 625-0859","Low"
"Jrd Construction","West Covina, CA 91790","5","41","https://www.yelp.com/biz/jrd-construction-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 991-1887","Low"
"Winpoint Construction","Walnut, CA 91789","4.9","43","https://www.yelp.com/biz/winpoint-construction-walnut-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 617-6059","Low"
"Morr Construction","16816 Glenhope Dr, La Puente, CA 91744","5","9","https://www.yelp.com/biz/morr-construction-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 261-5339","Low"
"J&R Construct Design","San Gabriel, CA 91776","5","13","https://www.yelp.com/biz/j-and-r-construct-design-san-gabriel?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 986-8803","Low"
"Zenith Builder","713 WDuarte Rd, Ste 865, Arcadia, CA 91007","5","97","https://www.yelp.com/biz/zenith-builder-arcadia-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 741-7017","Low"
"MK Builders","247 E Main St, Ste D, Alhambra, CA 91801","4.8","136","https://www.yelp.com/biz/mk-builders-alhambra-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 342-7761","Low"
"Sanchez General Construction","18980 Bachelin St, Rowland Heights, CA 91748","5","1","https://www.yelp.com/biz/sanchez-general-construction-rowland-heights?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 242-6136","Low"
"KCP Kitchen remodeling","La Puente, CA 91744","5","9","https://www.yelp.com/biz/kcp-kitchen-remodeling-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 324-2901","Low"
"Ricardo's Handyman Services","La Puente, CA 91744","5","2","https://www.yelp.com/biz/ricardos-handyman-services-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 893-5226","Low"
"Way To Go Builders, Inc","6700 Fallbrook Ave, Ste 133, Los Angeles, CA 91307","4.9","371","https://www.yelp.com/biz/way-to-go-builders-inc-los-angeles-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(877) 779-5750","Low"
"JJ Home Renovations","337 N Vineyard Ave, Ste 21, Ontario, CA 91764","5","63","https://www.yelp.com/biz/jj-home-renovations-ontario?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 591-6029","Low"
"L & F Remodeling","1223 Echelon Ave, La Puente, CA 91744","5","5","https://www.yelp.com/biz/l-and-f-remodeling-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 383-9521","Low"
"Mauricio Construction","West Covina, CA 91790","5","3","https://www.yelp.com/biz/mauricio-construction-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 391-7828","Low"
"JBR Remodeling","La Puente, CA 91744","5","3","https://www.yelp.com/biz/jbr-remodeling-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 533-0598","Low"
