"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Nguyen DDS Mylinh","1840 N Hacienda Blvd, La Puente, CA 91744","4","9","https://www.yelp.com/biz/nguyen-dds-mylinh-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 918-2833","Medium"
"California Dentistry & Braces","1014 N Hacienda Blvd, La Puente, CA 91744","3.3","8","https://www.yelp.com/biz/california-dentistry-and-braces-la-puente-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 968-5110","Medium"
"Fairgrove Dental Center","15260 Fairgrove Ave, La Puente, CA 91744","2.9","27","https://www.yelp.com/biz/fairgrove-dental-center-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 917-9998","Medium"
"Covina Smile Dentistry","127 N Lang Ave, West Covina, CA 91790","4.8","951","https://www.yelp.com/biz/covina-smile-dentistry-west-covina-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 722-5269","Low"
"La Puente Advanced Dentistry","864 N Hacienda Blvd, La Puente, CA 91744","4.6","80","https://www.yelp.com/biz/la-puente-advanced-dentistry-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 333-8166","Low"
"La Puente Smiles Dentistry","13704 Amar Rd, La Puente, CA 91746","4.8","24","https://www.yelp.com/biz/la-puente-smiles-dentistry-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 917-3088","Low"
"Nguyen Kenneth DDS","762 Glendora Ave, La Puente, CA 91744","4.9","11","https://www.yelp.com/biz/nguyen-kenneth-dds-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 333-7920","Low"
"May C Louie, DDS","15955 Main St, La Puente, CA 91744","5","34","https://www.yelp.com/biz/may-c-louie-dds-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 333-7022","Low"
"MyDentist La Puente","1441A N Hacienda Blvd, La Puente, CA 91744","5","13","https://www.yelp.com/biz/mydentist-la-puente-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 345-6117","Low"
"La Puente Family Dental Center","15321 Elliot Ave, La Puente, CA 91744","4.4","36","https://www.yelp.com/biz/la-puente-family-dental-center-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 968-3793","Low"
"Dr Kumar","15321 Elliot Ave, La Puente, CA 91746","4.5","31","https://www.yelp.com/biz/dr-kumar-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 968-3793","Low"
