"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"West Coast Electrical","La Puente, CA 91744","0","0","https://www.yelp.com/biz/west-coast-electrical-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 806-4182","Medium"
"New Electronics Communication","721 N Nantes Ave, La Puente, CA 91744","5","93","https://www.yelp.com/biz/new-electronics-communication-la-puente-6?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 500-6400","Low"
"Smilys Electric","West Covina, CA 91791","4.9","97","https://www.yelp.com/biz/smilys-electric-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 393-9400","Low"
"JIMZ ELECTRIC","La Puente, CA 91746","4.7","88","https://www.yelp.com/biz/jimz-electric-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 626-1655","Low"
"Omega Electrical Inc","La Puente, CA 91744","4.6","137","https://www.yelp.com/biz/omega-electrical-inc-la-puente-16?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 324-6442","Low"
"New Quest Electric","4650 Arrow Hwy, Unit G6, Montclair, CA 91763","4.9","315","https://www.yelp.com/biz/new-quest-electric-montclair?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 531-5004","Low"
"AES Electric","West Covina, CA 91792","4.9","55","https://www.yelp.com/biz/aes-electric-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(818) 296-7149","Low"
"J Power Electric","City of Industry, CA 91746","4.8","26","https://www.yelp.com/biz/j-power-electric-city-of-industry-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 731-2618","Low"
"R & G Electric","632 N Broadmoor Ave, La Puente, CA 91744","4.8","6","https://www.yelp.com/biz/r-and-g-electric-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 893-7817","Low"
"Smart Plug EV","West Covina, CA 91790","4.9","63","https://www.yelp.com/biz/smart-plug-ev-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 788-5849","Low"
"C-Jays Electrical Service","Whittier, CA 90605","5","245","https://www.yelp.com/biz/c-jays-electrical-service-whittier-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 378-6724","Low"
"Roc Electric","13449 Dunton Dr, Whittier, CA 90605","4.8","75","https://www.yelp.com/biz/roc-electric-whittier-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 632-7774","Low"
"Steven J Clairmont Electric","West Covina, CA 91790","4.7","59","https://www.yelp.com/biz/steven-j-clairmont-electric-west-covina-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 826-6341","Low"
"Caldera Power Services","225 S Ivy, Ave 2514, Monrovia, CA 91017","5","110","https://www.yelp.com/biz/caldera-power-services-monrovia?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 353-0764","Low"
"West Coast Electric","1053 E Edna Pl, Covina, CA 91724","4.8","132","https://www.yelp.com/biz/west-coast-electric-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 824-1014","Low"
"Cinc Tech Electric","West covina, CA 91790","5","28","https://www.yelp.com/biz/cinc-tech-electric-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 786-3603","Low"
"Yireh Electric","Rosemead, CA 91770","4.8","113","https://www.yelp.com/biz/yireh-electric-rosemead-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 222-5140","Low"
"Electric Brothers","9523 Slauson Ave, Pico Rivera, CA 90660","4.7","128","https://www.yelp.com/biz/electric-brothers-pico-rivera?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 354-8900","Low"
"Gilbert Solomon Electric","14360 Lassalette St, La Puente, CA 91744","4.8","4","https://www.yelp.com/biz/gilbert-solomon-electric-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 221-1975","Low"
"SamNoa Electric","Whittier, CA 90601","5","70","https://www.yelp.com/biz/samnoa-electric-whittier-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 542-7821","Low"
