"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Main Street Electricians","1533 Mission St, San Francisco, CA 94103, USA","","","","(715) 475-8095","High"
"Circuit Kings Electricians","828 Valencia St, San Francisco, CA 94110, USA","","","","(610) 764-8801","High"
"Sunshine Electric","468 Capp St, San Francisco, CA 94110, USA","5","3","","(415) 824-1688","Medium"
"Sparkye","162 Schwerin St, San Francisco, CA 94134, USA","5","23","","(510) 260-4668","Medium"
"E & E Electrical Supply, Inc.","1775 Mission St, San Francisco, CA 94103, USA","4.4","31","","(415) 626-2238","Medium"
"Yohan Electric","1581 15th St, San Francisco, CA 94103, USA","5","1","","(415) 861-5332","Medium"
"Zoom Electricians","2551 Mission St, San Francisco, CA 94110, USA","4.9","66","https://zoomelectricians.com/San-Francisco","(415) 727-8840","Low"
"BV Electric Inc.","44 Gough St #210, San Francisco, CA 94103, USA","4.8","549","http://www.bvelectricinc.com/","(415) 666-9990","Low"
"Pauric Electric San Francisco","884 Duncan St, San Francisco, CA 94131, USA","4.9","72","https://www.thesfelectrician.com/","(415) 301-7511","Low"
"Wells Electrical, Inc.","2560 Marin St, San Francisco, CA 94124, USA","4.9","16","https://www.wellselectricalinc.com/?utm_source=gbp&utm_medium=organic","(415) 255-7831","Low"
"Aguilar Electric","18 Hale St apt a, San Francisco, CA 94134, USA","5","81","https://aguilarelectricsf.com/","(415) 470-7375","Low"
"Electrical Land","108 Turquoise Way, San Francisco, CA 94131, USA","4.9","49","https://electricalland.com/Diamond-Heights","(415) 727-5722","Low"
"Shadow Electric","220 Bayshore Blvd, San Francisco, CA 94124, USA","5","10","https://www.shadowelectricbayarea.com/","(415) 850-3191","Low"
"McMillan Electric","1480 Folsom St, San Francisco, CA 94103, USA","4.5","23","http://mcmillanco.com/","(415) 826-5100","Low"
"Mach Electric","20 Precita Ave, San Francisco, CA 94110, USA","5","1","http://machelectricllc.com/","(415) 336-2865","Low"
"Electrical Land","410 Hearst Ave, San Francisco, CA 94112, USA","5","55","https://electricalland.com/Sunnyside","(415) 727-4640","Low"
"Thee Electrician LLC","68 Diana St, San Francisco, CA 94124, USA","5","55","https://theeelectrician.co/","(650) 834-7475","Low"
"Max Electric","28 Geary St #650, San Francisco, CA 94108, USA","4.9","534","http://maxelectric.us/","(415) 867-7006","Low"
"Mercy Electric","South, 1555 Yosemite Ave Suite #2, San Francisco, CA 94124, USA","5","85","https://www.mercyelectrician.com/","(415) 969-9530","Low"
"Garcia L Electric Inc","1093 Plymouth Ave, San Francisco, CA 94112, USA","5","37","https://garcialelectricinc.lovable.app/#contact","(415) 368-3748","Low"
