"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"UFC GYM Alhambra","412 E Main St, Alhambra, CA 91801","3.3","40","https://www.yelp.com/biz/ufc-gym-alhambra-alhambra?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 648-3062","Medium"
"Fit Body Boot Camp","2128 S Atlantic Blvd, Monterey Park, CA 91754","3.9","15","https://www.yelp.com/biz/fit-body-boot-camp-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 765-1336","Medium"
"Mission Fitness Center","690 S Date Ave, Alhambra, CA 91803","4.7","128","https://www.yelp.com/biz/mission-fitness-center-alhambra?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 766-1225","Low"
"Pure Fitness Gym","2079 S Atlantic Blvd, Ste A & B, Monterey Park, CA 91754","5","4","https://www.yelp.com/biz/pure-fitness-gym-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","","Low"
"South Pas Fitness","220 Pasadena Ave, South Pasadena, CA 91030","4.3","131","https://www.yelp.com/biz/south-pas-fitness-south-pasadena?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 345-5425","Low"
"Evolution Training Facility","5221 E Olympic Blvd, East Los Angeles, CA 90022","5","2","https://www.yelp.com/biz/evolution-training-facility-east-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 571-6976","Low"
"Pro Motivation Fitness","2109 West Whittier Blvd, Montebello, CA 90640","4.7","41","https://www.yelp.com/biz/pro-motivation-fitness-montebello-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 278-2866","Low"
"24 Hour Fitness - Monterey Park","500 N Atlantic Blvd, Ste A-102-1, Monterey Park, CA 91754","2.5","870","https://www.yelp.com/biz/24-hour-fitness-monterey-park-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 537-2144","Low"
"LA Fitness","2222 W Beverly Blvd, Montebello, CA 90640","3","340","https://www.yelp.com/biz/la-fitness-montebello?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 722-0994","Low"
"LA Fitness","416 S Atlantic Blvd, Bldg B, Monterey Park, CA 91754","2.7","528","https://www.yelp.com/biz/la-fitness-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 346-6061","Low"
"UFC GYM Rosemead","8920 Glendon Way, Rosemead, CA 91770","4.1","625","https://www.yelp.com/biz/ufc-gym-rosemead-rosemead?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 283-5100","Low"
"Madhouse Gains Asylum","4901 Patata St, Unit 108, Cudahy, CA 90201","4.6","14","https://www.yelp.com/biz/madhouse-gains-asylum-cudahy?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 536-8696","Low"
"Planet Fitness","610 E Valley Blvd, Alhambra, CA 91801","2.9","421","https://www.yelp.com/biz/planet-fitness-alhambra-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 576-8800","Low"
