"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"No Limit Fitness","6316 Whittier Blvd, East Los Angeles, CA 90022, USA","1.5","22","","(323) 901-0632","High"
"Evolution training facility","5221 E Olympic Blvd, East Los Angeles, CA 90022, USA","5","11","","","Medium"
"Studio Life Fitness","5341 E Olympic Blvd, Los Angeles, CA 90022, USA","4.4","16","","(323) 722-8080","Medium"
"ELAC Women's Gym","1200 W Floral Dr, Monterey Park, CA 91754, USA","4.4","8","","","Medium"
"East Los Bootcamp","3700 Whittier Blvd, Los Angeles, CA 90023, USA","4.2","5","","(213) 259-9659","Medium"
"Premier East LA","5941 Whittier Blvd, East Los Angeles, CA 90022, USA","5","1","http://www.premiereastla.com/","(323) 213-3055","Low"
"24 Hour Fitness","500 N Atlantic Blvd Suite A-102-1, Monterey Park, CA 91754, USA","4","1388","https://www.24hourfitness.com/gyms/monterey-park-ca/monterey-park-sport?Adb_id=GGL_LOC_ACQ_CDP","(626) 537-2144","Low"
"EōS Fitness","701 W Cesar Estrada Chavez Ave, Los Angeles, CA 90012, USA","3.8","1697","https://eosfitness.com/gym/los-angeles-downtown-la-cesar-chavez/?utm_source=local&utm_medium=organic&utm_campaign=evergreen_gmb","(213) 528-3132","Low"
"LA Fitness","416 S Atlantic Blvd Bldg B, Monterey Park, CA 91754, USA","3.7","625","https://www.lafitness.com/Pages/clubhome.aspx?clubid=410&utm_source=google&utm_medium=googlemaps&utm_campaign=maps","(323) 346-6061","Low"
"LA Fitness","2222 W Beverly Blvd, Montebello, CA 90640, USA","3.7","882","https://www.lafitness.com/Pages/clubhome.aspx?clubid=749&utm_source=google&utm_medium=googlemaps&utm_campaign=maps","(323) 722-0994","Low"
"The Camp Transformation Center","4768 Whittier Blvd, Los Angeles, CA 90022, USA","4.7","83","https://thecamptc.com/locations/east-los-angeles-california","(323) 480-3265","Low"
"Monterey Park Fitness Club","2079 S Atlantic Blvd STE B, Monterey Park, CA 91754, USA","4.3","3","https://mpkfitness.club/?fbclid=PAAabpC2koEaopPDeGI8TpGT9HtQ1wAcjVwydCvO4rkJ7qFsfj5Re_oOZwgHM","(626) 481-3623","Low"
"HSC Fitness Center","2001 N Soto St, Los Angeles, CA 90031, USA","4.6","66","https://recsports.usc.edu/rec-facilities/main-facilities/hsc-fitness-center/","(323) 442-7210","Low"
"Hybrid Gym Los Angeles","865 S Figueroa St #104, Los Angeles, CA 90017, USA","4.9","198","https://www.hybridgymla.com/","(213) 204-1989","Low"
"EōS Fitness","735 S Figueroa St, Los Angeles, CA 90017, USA","3.7","1079","https://www.eosfitness.com/gym/los-angeles-s-figueroa-st-8th-st?utm_source=local&utm_medium=organic&utm_campaign=evergreen_gmb","(213) 688-1441","Low"
"Planet Fitness","610 E Valley Blvd, Alhambra, CA 91801, USA","4","936","https://www.planetfitness.com/gyms/alhambra-ca?utm_medium=organic&utm_source=extnet","(626) 576-8800","Low"
"Speakeasy Fitness - Los Angeles","1645 S Western Ave, Los Angeles, CA 90006, USA","4.3","1369","http://speakeasy-fitness.com/","(213) 948-2292","Low"
"LM Fitness Center","2985 Glendale Blvd, Los Angeles, CA 90039, USA","4.9","222","http://www.lmfitnesscenter.com/","(323) 660-0050","Low"
"Monterey Park Fit Body Boot Camp","2128 S Atlantic Blvd, Monterey Park, CA 91754, USA","4.7","26","http://www.fitbodybootcamp.com/","(626) 765-1336","Low"
"Easton Gym Co","8053 Beverly Blvd, Los Angeles, CA 90048, USA","4.6","131","https://www.eastongymco.com/","(323) 651-3636","Low"
