"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"EōS Fitness","502 Plaza Dr, West Covina, CA 91790","1.6","16","https://www.yelp.com/biz/e%C5%8Ds-fitness-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 338-2444","Medium"
"Fit Club La Puente","1012 N Hacienda Blvd, La Puente, CA 91744","0","0","https://www.yelp.com/biz/fit-club-la-puente-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 747-2174","Medium"
"Booty Boutique","13913 Amar Rd, La Puente, CA 91746","5","28","https://www.yelp.com/biz/booty-boutique-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 800-9213","Low"
"Planet Fitness","1717 N Hacienda Blvd, La Puente, CA 91744","3.2","163","https://www.yelp.com/biz/planet-fitness-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 917-0300","Low"
"Wopro Fitness","1019 S Stimson Ave, City of Industry, CA 91745","5","231","https://www.yelp.com/biz/wopro-fitness-city-of-industry?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 778-5313","Low"
"Fitness 19","1422 South Azusa Ave, West Covina, CA 91791","4.1","214","https://www.yelp.com/biz/fitness-19-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 594-6599","Low"
"Self Made Training Facility West Covina","1705 W Garvey Ave N, West Covina, CA 91790","4.3","50","https://www.yelp.com/biz/self-made-training-facility-west-covina-west-covina-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 430-7695","Low"
"UFC GYM City of Industry","17638 E Castleton St, City Of Industry, CA 91748","3.8","159","https://www.yelp.com/biz/ufc-gym-city-of-industry-city-of-industry?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 606-9030","Low"
"Big Bang Athletics","14841 Proctor Ave, Ste A, City of Industry, CA 91746","5","78","https://www.yelp.com/biz/big-bang-athletics-city-of-industry-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 383-1944","Low"
"Fitness One80","1655 N Hacienda Blvd, Ste A, La Puente, CA 91744","4.9","50","https://www.yelp.com/biz/fitness-one80-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 877-5187","Low"
"Evolution Fit Club","15813 Main St, La Puente, CA 91744","5","6","https://www.yelp.com/biz/evolution-fit-club-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 977-6282","Low"
"Hourglass Lab","983 W San Bernardino Rd, Covina, CA 91723","4.4","42","https://www.yelp.com/biz/hourglass-lab-covina-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 402-3777","Low"
"Hidden Strength Gym","1442 Arrow Hwy, Unit K, Irwindale, CA 91706","4.9","45","https://www.yelp.com/biz/hidden-strength-gym-irwindale?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 223-6658","Low"
"La Puente CrossFit","151 S Hacienda Blvd, Unit A, City of Industry, CA 91745","5","76","https://www.yelp.com/biz/la-puente-crossfit-city-of-industry?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 968-5500","Low"
"LA Fitness","13822 Garvey Ave, Baldwin Park, CA 91706","3.1","302","https://www.yelp.com/biz/la-fitness-baldwin-park-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 521-5293","Low"
"24 Hour Fitness - West Covina","1530 W West Covina Pkwy, West Covina, CA 91790","2.5","401","https://www.yelp.com/biz/24-hour-fitness-west-covina-west-covina-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 851-2600","Low"
"24 Hour Fitness","18730 Amar Rd, Walnut, CA 91789","2.4","208","https://www.yelp.com/biz/24-hour-fitness-walnut-6?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 923-1202","Low"
"EōS Fitness","11830 E Whittier Blvd, Whittier, CA 90601","2.8","299","https://www.yelp.com/biz/e%C5%8Ds-fitness-whittier-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 267-1732","Low"
"Planet Fitness","17584 Colima Rd, Rowland Heights, CA 91748","3.4","77","https://www.yelp.com/biz/planet-fitness-rowland-heights?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 225-0030","Low"
"Aspire Fitness Rowland Heights","17524 Colima Rd, Rowland Heights, CA 91748","5","118","https://www.yelp.com/biz/aspire-fitness-rowland-heights-rowland-heights-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 957-3500","Low"
