"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Make It Happen Air Conditioning","15310 Elliott Ave, Unit 4658, La Puente, CA 91747","4","24","https://www.yelp.com/biz/make-it-happen-air-conditioning-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(424) 302-1223","Medium"
"Dr Dio Heating & Air Conditioning","Hacienda Heights, CA 91745","5","378","https://www.yelp.com/biz/dr-dio-heating-and-air-conditioning-hacienda-heights?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 928-1391","Low"
"Friends & Family Heating And Air Conditioning","1611 Pomona Rd, Ste 240, Corona, CA 92880","4.9","743","https://www.yelp.com/biz/friends-and-family-heating-and-air-conditioning-corona-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(866) 482-2326","Low"
"Piggies Air Conditioning","14510 Baldwin Park Towne Ctr, Unit A-1, Baldwin Park, CA 91706","4.9","76","https://www.yelp.com/biz/piggies-air-conditioning-baldwin-park-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 508-7154","Low"
"Home Runners Heating & Air","1578 W San Bernardino Rd, Ste B, Covina, CA 91722","4.9","80","https://www.yelp.com/biz/home-runners-heating-and-air-covina-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 499-2828","Low"
"Air CareSaver","245 Paseo Sonrisa, Walnut, CA 91789","4.8","189","https://www.yelp.com/biz/air-caresaver-walnut-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 425-4711","Low"
"Air Flow Bros","12501 Philadelphia St, Whittier, CA 90601","4.9","209","https://www.yelp.com/biz/air-flow-bros-whittier-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(657) 226-1476","Low"
"Temp Air System","15843 Amar Rd, La Puente, CA 91744","4.5","32","https://www.yelp.com/biz/temp-air-system-la-puente-8?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(800) 630-0082","Low"
"Air Now Heating & Cooling","1650 E Stuart Ave, Unit 201, West Covina, CA 91791","5","140","https://www.yelp.com/biz/air-now-heating-and-cooling-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 247-4968","Low"
"Diamond Air Services","5220 4th St, Ste 18, Irwindale, CA 91706","5","56","https://www.yelp.com/biz/diamond-air-services-irwindale-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 713-6644","Low"
"Wintri","546 E Edna Pl, Covina, CA 91723","4.9","127","https://www.yelp.com/biz/wintri-covina-6?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 777-7773","Low"
"Full Blown Heating And Air Conditioning","PO Box 1952, Whittier, CA 90638","4.8","320","https://www.yelp.com/biz/full-blown-heating-and-air-conditioning-whittier-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 233-7532","Low"
"Ez Breeze","428 S Rosemead Blvd, Pasadena, CA 91107","5","117","https://www.yelp.com/biz/ez-breeze-pasadena?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(747) 500-5004","Low"
"Quan AC Services","Rosemead, CA 91770","4.9","49","https://www.yelp.com/biz/quan-ac-services-rosemead-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 321-3012","Low"
"Full Blast Heating and Air Conditioning","West Covina, CA 91792","4.8","217","https://www.yelp.com/biz/full-blast-heating-and-air-conditioning-west-covina-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 222-2449","Low"
"American Air Advance","14833 Light St, Whittier, CA 90604","4.9","286","https://www.yelp.com/biz/american-air-advance-whittier?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 220-8992","Low"
"Premier AC Services","City of Industry, CA 91744","5","6","https://www.yelp.com/biz/premier-ac-services-city-of-industry?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 419-6213","Low"
"Mini Glaciers","La Puente, CA 91744","5","1","https://www.yelp.com/biz/mini-glaciers-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 631-5532","Low"
