"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Yasrebi Law","One Sansome St, Ste 3500, San Francisco, CA 94104","4.1","45","https://www.yelp.com/biz/yasrebi-law-san-francisco-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 819-1898","Medium"
"Kolomejec Law","Pier 9, Ste 100, San Francisco, CA 94111","4.9","364","https://www.yelp.com/biz/kolomejec-law-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 433-7205","Low"
"Leiva Law Firm","350 Townsend St, San Francisco, CA 94107","4.8","205","https://www.yelp.com/biz/leiva-law-firm-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 541-9290","Low"
"The Law Office Of Zhang","100 Pine St, Ste 1250, San Francisco, CA 94111","4.8","30","https://www.yelp.com/biz/the-law-office-of-zhang-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 745-3640","Low"
"KPB Immigration Law Firm","142 Sansome St, Ste 500, San Francisco, CA 94104","4.6","100","https://www.yelp.com/biz/kpb-immigration-law-firm-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 900-4405","Low"
"Law Office of Rosy H. Cho","450 Sansome St, Ste 1005, San Francisco, CA 94111","4.9","30","https://www.yelp.com/biz/law-office-of-rosy-h-cho-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 274-2000","Low"
"Veera Law","350 Townsend St, Ste 815, San Francisco, CA 94107","5","33","https://www.yelp.com/biz/veera-law-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 529-1949","Low"
"Andrei Romanenko","500 Sutter St, Ste 823, San Francisco, CA 94102","4.9","65","https://www.yelp.com/biz/andrei-romanenko-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 997-8144","Low"
"Hurtubise Weber Law","201 Spear St, Ste 1100, San Francisco, CA 94105","5","38","https://www.yelp.com/biz/hurtubise-weber-law-san-francisco-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 413-8760","Low"
"Taghavi Immigration Law","345 California St, Fl 6th Ste 600, San Francisco, CA 94104","5","2","https://www.yelp.com/biz/taghavi-immigration-law-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(804) 408-3522","Low"
"Law Offices of Amie D Miller","369 Pine St, Ste 725, San Francisco, CA 94104","4.7","43","https://www.yelp.com/biz/law-offices-of-amie-d-miller-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 362-8602","Low"
"The Law Office of Natalia Malyshkina","100 Pine St, Ste 1250, San Francisco, CA 94111","5","17","https://www.yelp.com/biz/the-law-office-of-natalia-malyshkina-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 240-0083","Low"
