"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Cazcam Landscaping Service","East Los Angeles, CA 90022","4","4","https://www.yelp.com/biz/cazcam-landscaping-service-east-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 900-9917","Medium"
"Joel & Sons Landscape Construction","Covina, CA 91722","4.8","183","https://www.yelp.com/biz/joel-and-sons-landscape-construction-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 966-4682","Low"
"Eric’s Yard Work","Los Angeles, CA 90026","5","8","https://www.yelp.com/biz/eric-s-yard-work-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 580-8511","Low"
"Keep It Leafy","4657 Huntington Dr, South Los Angeles, CA 90032","4.7","30","https://www.yelp.com/biz/keep-it-leafy-south-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(800) 457-5647","Low"
"Campos Garden 777","3025 Sherwood Ave, Alhambra, CA 91801","4.4","23","https://www.yelp.com/biz/campos-garden-777-alhambra?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 877-2744","Low"
"Union Landscape","Pasadena, CA 91101","4.8","75","https://www.yelp.com/biz/union-landscape-pasadena?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 298-2893","Low"
"Grow Control Landscape","El Monte, CA 91732","4.9","82","https://www.yelp.com/biz/grow-control-landscape-el-monte-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 627-4583","Low"
"Green Grass Landscaping","Whittier, CA 90602","4.7","117","https://www.yelp.com/biz/green-grass-landscaping-whittier-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 236-3509","Low"
"Artscape Gardens","4654 Carnegie St, Los Angeles, CA 90032","5","82","https://www.yelp.com/biz/artscape-gardens-los-angeles-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 510-8305","Low"
"First Rate Irrigation","Los Angeles, CA 90022","4.4","9","https://www.yelp.com/biz/first-rate-irrigation-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(818) 308-0165","Low"
