"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Genesis Lawn Care","3615 Floral Dr, Los Angeles, CA 90063, USA","5","2","","(323) 594-7683","Medium"
"Chaton landscaping","1116 S Ferris Ave, Los Angeles, CA 90022, USA","5","1","","(562) 587-3197","Medium"
"SEGURA LANDSCAPING HELP","1020 S Vancouver Ave, Los Angeles, CA 90022, USA","5","1","","(323) 354-4505","Medium"
"Socal Landscape & Gardening","1245 McClellan Dr, Los Angeles, CA 90025, USA","5","85","https://www.socallg.com/","(213) 566-7469","Low"
"Flores Artscape","3959 Eagle Rock Blvd, Los Angeles, CA 90065, USA","4.7","141","https://www.floresartscape.com/","(323) 666-3510","Low"
"Artscape Gardens","4654 Carnegie St, Los Angeles, CA 90032, USA","5","40","http://artscapegardens.com/","(323) 510-8305","Low"
"Go Green Us Landscaping","821 N Humphreys Ave, East Los Angeles, CA 90022, USA","5","6","https://gogreenuslandscaping.com/","(323) 328-2320","Low"
"HB Landscape Design LLC","Federal Ave, Los Angeles, CA 90025, USA","4.8","44","http://www.hblandscapedesign.com/","(310) 254-0937","Low"
"LawnStarter Landscaping","1540 Vine St Apartment 346, Los Angeles, CA 90028, USA","4.9","33","https://www.lawnstarter.com/los-angeles-ca-landscaping?utm_source=google&utm_medium=GLocal&utm_campaign=LosAngelesLocal","(424) 324-2113","Low"
"Green Grounds Landscape Services","5401 W Adams Blvd, Los Angeles, CA 90016, USA","4.8","29","http://www.greengrounds.com/","(323) 452-9945","Low"
"Diaz Landscaping Services","1865 1/2 W 25th St, Los Angeles, CA 90018, USA","5","5","https://www.diaz-landscaping.com/","(323) 683-8082","Low"
"Green Advisor Inc.","7660 Beverly Blvd, Los Angeles, CA 90036, USA","5","270","https://greenadvisorinc.com/","(888) 869-0987","Low"
"RainforestLA, Inc.","442 Alandele Ave, Los Angeles, CA 90036, USA","5","96","https://rainforestla.com/","(323) 828-4178","Low"
"Joaquin’s Landscaping","2328 1/2 Carmona Ave, Los Angeles, CA 90016, USA","5","6","http://joaquinslandscaping.com/","(323) 592-1098","Low"
"AJP LANDSCAPE INC","4828 St Charles Pl, Los Angeles, CA 90019, USA","5","19","http://www.ajplandscape.com/","(323) 420-7758","Low"
"Los Angeles Landscaping Services","5550 Grosvenor Blvd #349, Los Angeles, CA 90066, USA","5","1","http://rexbrand.co/","(213) 465-8439","Low"
"Adco Landscaping","1532 W Olympic Blvd, Montebello, CA 90640, USA","5","2","http://www.adcoservices.org/","(323) 725-2581","Low"
"Evermont Landscape","1912 Barrett Ave #3, Richmond, CA 94801, USA","4.9","235","http://evermontlandscape.com/","(510) 660-4525","Low"
