"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Jose Aguirre sf garden services","233 Capp St, San Francisco, CA 94110, USA","","","","(341) 800-1506","High"
"Dirty Hoe Landscaping","1388 Alabama St, San Francisco, CA 94110, USA","3","1","https://dirtyhoelandscaping.com/","(415) 282-1058","Medium"
"Tall Gnome Landscaping","2360 Mission St, San Francisco, CA 94110, USA","","","https://tallgnomelandscaping.com/","(209) 610-1553","Medium"
"Outer Space Landscape Architecture","1001 Hampshire St # A, San Francisco, CA 94110, USA","","","http://www.outerspacela.com/","(415) 643-1840","Medium"
"The Foxy Garden","2944 23rd St, San Francisco, CA 94110, USA","","","https://www.thefoxygarden.com/","(415) 794-8192","Medium"
"Mission Bay Landscaping Corporation","5800 3rd St UNIT 1404, San Francisco, CA 94124, USA","","","http://missionbaylandscaping.com/","","Medium"
"J. Kearney Gardens","2948 20th St Unit 102, San Francisco, CA 94110, USA","","","http://www.jkearneygardens.com/","(415) 846-3342","Medium"
"JML Landscapes","23rd St 3050 B, San Francisco, CA 94110, USA","5","5","http://www.jml-landscapes.com/","(415) 821-3760","Low"
"GLS Landscape | Architecture","2677 Mission St #200, San Francisco, CA 94110, USA","5","2","http://www.glsarch.com/","(415) 285-3614","Low"
"Reynolds-Sebastiani Design Services LLC","1140 York St, San Francisco, CA 94110, USA","5","13","http://www.reynolds-sebastiani.com/","(415) 282-5771","Low"
"Cobble & Forge","1663 Valencia St, San Francisco, CA 94110, USA","5","2","http://www.cobbleandforge.com/","(415) 452-8959","Low"
"Studio-MLA","2544 Mission St, San Francisco, CA 94110, USA","5","1","http://www.studio-mla.com/","(415) 289-2200","Low"
"Lutsko Associates","3295 Mission St, San Francisco, CA 94110, USA","5","1","http://lutskoassociates.com/","(415) 920-2800","Low"
"Rock & Rose Landscapes","1615 Cortland Ave, San Francisco, CA 94110, USA","4.4","22","http://www.rockandrose.com/","(415) 824-3458","Low"
"Blooms Gardening","18-A Sanchez St, San Francisco, CA 94114, USA","5","6","https://blooms-gardening.com/","(415) 630-0237","Low"
"Poetree Landscapes","132 Winfield St, San Francisco, CA 94110, USA","5","1","http://jocelync.com/","(415) 285-2342","Low"
"Madroño Landscape Design Studio","2053 Fillmore St, San Francisco, CA 94115, USA","4.7","14","http://www.madrono.org/","(415) 462-0489","Low"
"Artisans Landscape Inc","1858 Donner Ave, San Francisco, CA 94124, USA","5","5","http://www.artisanslandscape.com/","(415) 594-9090","Low"
"RareField Design/ Build","766 Valencia St, San Francisco, CA 94110, USA","5","11","https://www.rarefieldsf.com/","(415) 824-1882 ext. 102","Low"
"Sf Gardening Services","642 Precita Ave #5, San Francisco, CA 94110, USA","5","1","https://sfgardeningservices.com/","(415) 685-6238","Low"
