"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Chicken Kai","4770 E Cesar E Chavez Ave # C, Los Angeles, CA 90022, USA","4.9","13","","(323) 354-4114","Medium"
"Birrieria Olivia","1105 S Atlantic Blvd ste 1, East Los Angeles, CA 90022, USA","4.5","14","","(323) 847-3896","Medium"
"Maye Mariscos","931 S Atlantic Blvd, East Los Angeles, CA 90022, USA","4.9","16","","(323) 439-1959","Medium"
"Soulmex","975 S Atlantic Blvd, East Los Angeles, CA 90022, USA","5","34","","(844) 462-2467","Medium"
"Girl & the Goat Los Angeles","555-3 Mateo St, Los Angeles, CA 90013, USA","4.8","3429","http://girlandthegoat.com/","(213) 799-4628","Low"
"El Tepeyac Cafe","812 N Evergreen Ave, Los Angeles, CA 90033, USA","4.5","4790","https://rebrand.ly/el-tepeyac","(323) 268-1960","Low"
"El Sol de Mexico","4729 E Olympic Blvd, East Los Angeles, CA 90022, USA","5","74","http://elsoldemexicoeastlasource.com/","(213) 466-2966","Low"
"Sofreh","4701 E 3rd St, East Los Angeles, CA 90022, USA","4.5","508","","(323) 526-8256","Low"
"Tamayo Restaurant and Art Gallery","5300 E Olympic Blvd, Los Angeles, CA 90022, USA","4.4","679","https://la-tamayo.com/","(323) 406-2209","Low"
"Steven's Steak & Seafood House","5332 Stevens Pl, Commerce, CA 90040, USA","4.3","3930","https://stevenssteakhouse.com/","(323) 723-9856","Low"
"Las Brasas Peruvian Fusion","283 S Atlantic Blvd suit A&B, East Los Angeles, CA 90022, USA","4.2","345","http://www.mancoraperuvian.com/","(323) 604-9342","Low"
"Luminarias Restaurant & Special Events","3500 W Ramona Blvd, Monterey Park, CA 91754, USA","4.4","2503","https://www.luminariasrestaurant.com/","(323) 268-4177","Low"
"Little Mexico Seafood Restaurant","4937 Whittier Blvd, Los Angeles, CA 90022, USA","4.2","714","http://www.thelittlemexico.com/","(323) 354-4644","Low"
"Mi Gallo Kitchen Bar & Grill","4533 E Cesar E Chavez Ave, Los Angeles, CA 90022, USA","4.5","285","https://migallo.top/","(323) 980-8669","Low"
"Venice Room","2428 S Garfield Ave, Monterey Park, CA 91754, USA","4.5","799","http://www.theveniceroom.com/","(323) 722-3075","Low"
"Redbird","114 E 2nd St, Los Angeles, CA 90012, USA","4.6","1803","http://www.redbird.la/","(213) 788-1191","Low"
"Los Lagos Mariscos Restaurant","4310 E Cesar E Chavez Ave, Los Angeles, CA 90022, USA","4.5","275","http://www.loslagosmariscosrestaurant.com/","(323) 263-6146","Low"
"Cities Restaurant","4512 E Cesar E Chavez Ave, Los Angeles, CA 90022, USA","4.3","570","http://citiesflavor.com/","(323) 526-4555","Low"
"Jumpin' Lobster","2120 S Atlantic Blvd, Monterey Park, CA 91754, USA","4.5","60","","(626) 991-5966","Low"
"Majordomo","1725 Naud St, Los Angeles, CA 90012, USA","4.6","1328","http://www.majordomo.la/","(323) 545-4880","Low"
