"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Eye Thrift","1264 Valencia St, San Francisco, CA 94110","4.1","7","https://www.yelp.com/biz/eye-thrift-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 829-3489","Medium"
"Slow Sunday","613 Florida St, San Francisco, CA 94110","4","1","https://www.yelp.com/biz/slow-sunday-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","","Medium"
"Stuff by Luxe","1830 Harrison St, San Francisco, CA 94103","2.5","2","https://www.yelp.com/biz/stuff-by-luxe-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","","Medium"
"Baggu","888 Valencia St, San Francisco, CA 94110","4.3","57","https://www.yelp.com/biz/baggu-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 314-4193","Low"
"Self Edge","569 Valencia St, San Francisco, CA 94110","4.2","191","https://www.yelp.com/biz/self-edge-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 558-0658","Low"
"Therapy Stores","545 Valencia St, San Francisco, CA 94110","4.3","438","https://www.yelp.com/biz/therapy-stores-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 865-0981","Low"
"UBi-IND","3150 18th St, Ste113, San Francisco, CA 94110","4.3","6","https://www.yelp.com/biz/ubi-ind-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 894-5542","Low"
"Everlane","461 Valencia St, San Francisco, CA 94103","2.5","174","https://www.yelp.com/biz/everlane-san-francisco-8?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 209-5195","Low"
"Gravel & Gold","3266 21st St, San Francisco, CA 94110","4.6","40","https://www.yelp.com/biz/gravel-and-gold-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 552-0112","Low"
"Paxton Gate","824 Valencia St, San Francisco, CA 94110","4.4","523","https://www.yelp.com/biz/paxton-gate-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 824-1872","Low"
"Heath Ceramics","2900 18th St, San Francisco, CA 94110","4.1","125","https://www.yelp.com/biz/heath-ceramics-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 361-5552","Low"
"Ross Dress for Less","2300 16th St, San Francisco, CA 94103","2.4","125","https://www.yelp.com/biz/ross-dress-for-less-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 554-1901","Low"
"Praxis","3047 24th St, San Francisco, CA 94110","4.8","25","https://www.yelp.com/biz/praxis-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 800-6601","Low"
"Rare Device","600 Divisadero St, San Francisco, CA 94117","4.5","108","https://www.yelp.com/biz/rare-device-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 863-3969","Low"
"Aldea Home & Baby","890 Valencia St, San Francisco, CA 94110","3.7","165","https://www.yelp.com/biz/aldea-home-and-baby-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 865-9807","Low"
"Latin Jewelers","2344 Mission St, San Francisco, CA 94110","4.4","72","https://www.yelp.com/biz/latin-jewelers-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 647-7575","Low"
"Community Thrift Store","623 Valencia St, San Francisco, CA 94110","3.9","382","https://www.yelp.com/biz/community-thrift-store-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 861-4910","Low"
"House of Color","2850 24th St, San Francisco, CA 94110","4","79","https://www.yelp.com/biz/house-of-color-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 647-9189","Low"
"555 Ninth Street Retail Center","555 9th St, San Francisco, CA 94103","4.3","4","https://www.yelp.com/biz/555-ninth-street-retail-center-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","","Low"
"Kintetsu Mall","1737 Post St, San Francisco, CA 94115","4.2","57","https://www.yelp.com/biz/kintetsu-mall-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 440-1171","Low"
