"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Home Bargain","2664 Mission St, San Francisco, CA 94110, USA","4","16","","(415) 366-6833","High"
"New Colors Fashion","2076 Mission St, San Francisco, CA 94110, USA","4.7","25","","(415) 255-7290","Medium"
"BayAreaRevives","2301 Mission St Space ""A, San Francisco, CA 94110, USA","4.7","14","","","Medium"
"Born Again Thrift","2287 Mission St, San Francisco, CA 94110, USA","4.8","22","","(415) 932-6060","Medium"
"Morena's Fashion","3262 24th St, San Francisco, CA 94110, USA","5","13","","(415) 571-5399","Medium"
"Therapy Stores","545 Valencia St # 549, San Francisco, CA 94110, USA","4.6","156","http://www.therapystores.com/","(415) 865-0981","Low"
"Afterlife Collective","541 Valencia St, San Francisco, CA 94110, USA","4.4","85","http://www.afterlifeboutique.com/","(415) 796-2398","Low"
"No Shop","389 Valencia St, San Francisco, CA 94103, USA","4.5","64","http://www.ohnonotno.com/","(415) 252-9982","Low"
"Landline","717 Valencia St, San Francisco, CA 94110, USA","5","25","http://www.landlinehome.com/","(917) 304-6490","Low"
"Made In The City","3119 24th St, San Francisco, CA 94112, USA","4.8","6","https://www.madein-thecity.com/products","(415) 598-8642","Low"
"LEMON TWIST","3418 25th St, San Francisco, CA 94110, USA","4.8","6","http://www.lemontwist.net/","(415) 297-2423","Low"
"Valencia Street Vintage","714 Valencia St, San Francisco, CA 94110, USA","4.8","34","https://www.valenciavintagesf.com/","(415) 320-7887","Low"
"Stop & Shop Market","3000 Mission St, San Francisco, CA 94110, USA","4.2","10","https://www.instagram.com/stopandshopsf/","(415) 550-0905","Low"
"Everlane","461 Valencia St, San Francisco, CA 94103, USA","4.1","342","http://everlane.com/","(415) 209-5195","Low"
"BAGGU San Francisco","888 Valencia St, San Francisco, CA 94110, USA","4.3","119","http://www.baggu.com/","(415) 314-4193","Low"
"Serendipity Cards and Gifts","803 Valencia St, San Francisco, CA 94110, USA","4.5","109","http://serendipitysanfrancisco.com/","(415) 401-8760","Low"
"Potrero Center","2300 16th St, San Francisco, CA 94103, USA","4.1","5262","https://www.regencycenters.com/property/detail/80065/Potrero-Center","(925) 279-1800","Low"
"Open Editions","786 Valencia St, San Francisco, CA 94110, USA","4.6","19","https://open-editions.com/","","Low"
"Buffalo Exchange","1210 Valencia St, San Francisco, CA 94110, USA","3.8","227","https://buffaloexchange.com/location/mission-district-san-francisco/","(415) 647-8332","Low"
"Mission Secrets","2086 Mission St, San Francisco, CA 94110, USA","4.2","21","https://www.secretsboutiques.com/","(415) 626-0309","Low"
