"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Golden Beauty Salon","2095 S Atlantic Blvd, Monterey Park, CA 91754","4.1","15","https://www.yelp.com/biz/golden-beauty-salon-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 268-8898","Medium"
"Blissful Beauty Salon","864 N Garfield Ave, Montebello, CA 90640","4.6","104","https://www.yelp.com/biz/blissful-beauty-salon-montebello?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 246-4533","Low"
"Chez Moi & Code Studio","111 N Atlantic Blvd, Ste 225, Monterey Park, CA 91754","4.4","299","https://www.yelp.com/biz/chez-moi-and-code-studio-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 281-2188","Low"
"Bebe Skin & Hair","2322 S Atlantic Blvd, Ste A, Monterey Park, CA 91754","4.9","46","https://www.yelp.com/biz/bebe-skin-and-hair-monterey-park-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 243-3215","Low"
"Dream Lounge La","5419 E Beverly Blvd, East Los Angeles, CA 90022","4.2","23","https://www.yelp.com/biz/dream-lounge-la-east-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 630-4018","Low"
"Style Bar","227 E Pomona Blvd, Monterey Park, CA 91755","4.8","123","https://www.yelp.com/biz/style-bar-monterey-park?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 627-1590","Low"
"S K Salon","1434 S Atlantic Blvd, Alhambra, CA 91803","4.7","72","https://www.yelp.com/biz/s-k-salon-alhambra?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 632-8863","Low"
"B Side U - San Gabriel","701 S San Gabriel Blvd, Ste B, San Gabriel, CA 91776","5","103","https://www.yelp.com/biz/b-side-u-san-gabriel-san-gabriel?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(213) 536-9292","Low"
"Scissors The Salon","1219 E Valley Blvd, Alhambra, CA 91801","4.8","265","https://www.yelp.com/biz/scissors-the-salon-alhambra?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 281-3319","Low"
"Rubels Head Spa","2809 Via Campo, Montebello, CA 90640","5","128","https://www.yelp.com/biz/rubels-head-spa-montebello-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 687-2051","Low"
