"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Magic Touch Salon","5050 Whittier Blvd, Los Angeles, CA 90022, USA","4.1","38","","(323) 780-8298","High"
"Crystal Beauty Salon","4304 E Cesar E Chavez Ave, Los Angeles, CA 90022, USA","4.7","42","","(323) 526-1120","Medium"
"A & C Glamour Salon","3512 1st St, Los Angeles, CA 90063, USA","4.7","21","","(323) 265-3018","Medium"
"Bloom Beauty Salon","4543 Whittier Blvd, Los Angeles, CA 90022, USA","4.6","47","","(323) 269-1823","Medium"
"Elena's Beauty Salon","6511 Whittier Blvd, Los Angeles, CA 90022, USA","4.6","44","","(323) 722-1494","Medium"
"Sunflower Beauty Salon","918 S McBride Ave, Los Angeles, CA 90022, USA","4.6","35","","(323) 260-7441","Medium"
"Ana's Beauty Salon","3935 E Cesar E Chavez Ave, Los Angeles, CA 90063, USA","4.8","21","","(323) 354-4479","Medium"
"Estele's Beauty Salon","4469 Whittier Blvd, Los Angeles, CA 90022, USA","4.9","10","","(323) 267-1916","Medium"
"Strand's Beauty Salon","4941 Whittier Blvd, Los Angeles, CA 90022, USA","4.8","32","","(323) 267-8150","Medium"
"Estella Beauty Salon","5615 Whittier Blvd # B, Commerce, CA 90022, USA","4.3","41","","(323) 838-6888","Medium"
"Lupita's Hair Design","5926 E Olympic Blvd, Los Angeles, CA 90022, USA","4.7","28","","(323) 727-0230","Medium"
"HAIR Los Angeles","1427 East 4th St UNIT 3, Los Angeles, CA 90033, USA","4.9","226","http://hairlosangeles.com/","(310) 388-1979","Low"
"ZAZ Beauty Salon","4510 Whittier Blvd, East Los Angeles, CA 90022, USA","4.6","48","https://www.linkingcenter.com/zazbeautysalon","(323) 534-1368","Low"
"International Beauty Salon","281 S Atlantic Blvd, Los Angeles, CA 90022, USA","4.6","52","","(323) 266-3932","Low"
"Obsession Blessed Hair Extensions","652 S Woods Ave, East Los Angeles, CA 90022, USA","4.9","122","https://www.obsessionblessed.com/","(213) 819-3769","Low"
"Teresita's Beauty Salon","505 N Brannick Ave, Los Angeles, CA 90063, USA","4.6","87","","(323) 261-0427","Low"
"Salontique Beauty Studio","5707 Whittier Blvd, East Los Angeles, CA 90022, USA","4.6","92","","(909) 232-3178","Low"
"Maximo Hair Salon","6069 E Olympic Blvd, East Los Angeles, CA 90022, USA","5","15","http://maximo-hair-salon.qeek.live/","","Low"
"Angel's Haircut","3488 E Cesar E Chavez Ave, Los Angeles, CA 90063, USA","4.8","63","","(323) 261-4669","Low"
"Johanas Beauty salon & Barber shop","4136 Whittier Blvd, Los Angeles, CA 90023, USA","4.7","96","","(323) 264-3024","Low"
