"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Ana’s Beauty Salon","134 N 1st, La Puente, CA 91744","3.9","7","https://www.yelp.com/biz/ana-s-beauty-salon-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 820-3929","Medium"
"Universal Hair Salon","1302 W Francisquito Ave, Ste A, West Covina, CA 91790","3.8","27","https://www.yelp.com/biz/universal-hair-salon-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 918-6225","Medium"
"Silvia's Beauty Salon","13865 Amar Rd, La Puente, CA 91746","3.2","18","https://www.yelp.com/biz/silvias-beauty-salon-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 960-9619","Medium"
"Perfect Style","1240 N Hacienda Blvd, Ste 104, La Puente, CA 91744","4.9","326","https://www.yelp.com/biz/perfect-style-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(818) 270-8568","Low"
"Orquidia Beauty Salon","845 N Sunset Ave, La Puente, CA 91744","4.6","23","https://www.yelp.com/biz/orquidia-beauty-salon-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 917-6082","Low"
"Tere's Beauty Salon","1373 N Hacienda Blvd, La Puente, CA 91744","4.1","65","https://www.yelp.com/biz/teres-beauty-salon-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 918-3315","Low"
"Tamayo's Hair Stylist","14316 Amar Rd, Ste B, La Puente, CA 91744","4.5","22","https://www.yelp.com/biz/tamayos-hair-stylist-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 917-6007","Low"
"Hacienda Hair Care","1012 1/2 S Hacienda Blvd, Hacienda Heights, CA 91745","4.7","138","https://www.yelp.com/biz/hacienda-hair-care-hacienda-heights?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 369-9595","Low"
"Salon ONE 9","18856 Amar Rd, Ste 19, Walnut, CA 91789","4.7","794","https://www.yelp.com/biz/salon-one-9-walnut?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 507-6639","Low"
"Elegant Beauty Salon","13738 Amar Rd, La Puente, CA 91746","4.3","6","https://www.yelp.com/biz/elegant-beauty-salon-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 917-7331","Low"
"Entourage Hair Salon","445 N Azusa Ave, West Covina, CA 91791","4.8","423","https://www.yelp.com/biz/entourage-hair-salon-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 858-2326","Low"
"Ana's Beauty Salon","1671 N Hacienda Blvd, La Puente, CA 91744","4.6","29","https://www.yelp.com/biz/anas-beauty-salon-la-puente?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 918-1102","Low"
"Jdf Beauty Salon","525 E Vine Ave, West Covina, CA 91790","4.8","104","https://www.yelp.com/biz/jdf-beauty-salon-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 297-4920","Low"
"J.R 匠人 Hair Salon","19745 Colima Rd, Ste 7, Rowland Heights, CA 91748","4.8","501","https://www.yelp.com/biz/j-r-%E5%8C%A0%E4%BA%BA-hair-salon-rowland-heights?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 895-7408","Low"
"Salon Paz","144 S Glendora Ave, West Covina, CA 91790","4.8","130","https://www.yelp.com/biz/salon-paz-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 917-2776","Low"
"Idol Hair Salon","18730 Colima Rd, Ste B, Rowland Heights, CA 91748","4.9","140","https://www.yelp.com/biz/idol-hair-salon-rowland-heights-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 476-6739","Low"
"D2 Hair","17883 Colima Rd, Ste A, City of Industry, CA 91748","4.5","276","https://www.yelp.com/biz/d2-hair-city-of-industry-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 986-4588","Low"
"Habitat","737 Glendora Ave, Ste 101, La Puente, CA 91744","4.9","18","https://www.yelp.com/biz/habitat-la-puente-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 295-2007","Low"
"Goudy Beauty Salon","16032 Gale Ave, Hacienda Heights, CA 91745","4.5","42","https://www.yelp.com/biz/goudy-beauty-salon-hacienda-heights?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 968-5188","Low"
"Susy's Hair Salon","2122 W Francisquito Ave, Ste E, West Covina, CA 91790","4.2","83","https://www.yelp.com/biz/susys-hair-salon-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 813-1931","Low"
