"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Mariana’s Beauty Salon","15907 Main St, La Puente, CA 91744, USA","","","","(626) 671-9393","High"
"TERE'S Beauty Salon","1373 N Hacienda Blvd, La Puente, CA 91744, USA","4.1","79","","(626) 918-3315","Medium"
"Ana’s beauty salon","134 N 1st St, La Puente, CA 91744, USA","4.6","19","","(626) 820-3929","Medium"
"Orquidia Beauty Salon","845 N Sunset Ave, La Puente, CA 91744, USA","4.6","25","","(626) 917-6082","Medium"
"Evolution Hair Salon","13865 Amar Rd, La Puente, CA 91746, USA","4.9","40","","(626) 960-9619","Medium"
"Griselda's Beauty Salon","15731 Amar Rd, La Puente, CA 91744, USA","4.6","35","","(626) 333-4644","Medium"
"Mario's Beauty Salon","Azusa Way, La Puente, CA 91744, USA","3.9","59","","(626) 581-8627","Medium"
"LUXURY HAIR STUDIO","146 N 1st St, La Puente, CA 91744, USA","5","9","","(626) 923-8623","Medium"
"Maria's Beauty Salon","917 N Sunset Ave, La Puente, CA 91744, USA","4.4","31","","(626) 917-8757","Medium"
"Mamacita Beauty Studio","762 Glendora Ave, La Puente, CA 91744, USA","5","7","","","Medium"
"Pretty Hair Salon","1421 Valinda Ave, La Puente, CA 91744, USA","4.5","22","","(626) 917-4777","Medium"
"Azusa Barber & Beauty Salon","525 N Azusa Ave Suite 109, La Puente, CA 91744, USA","4.1","85","","(626) 581-4595","Medium"
"Perfect Style","1240 N Hacienda Blvd # 104, La Puente, CA 91744, USA","4.9","106","","(818) 270-8568","Low"
"Ana's Beauty Salon","1671 N Hacienda Blvd, La Puente, CA 91744, USA","4.8","47","http://anas-beauty-salon-la-puente.jany.io/","(626) 918-1102","Low"
"Elegant Beauty Salon","13738 Amar Rd, La Puente, CA 91746, USA","4.5","52","","(626) 295-9444","Low"
"Fantasia Beauty Salon / Hairstylist - Acrylic Nails - Highlights - Balayage - Blonde Specialist","815 N Hacienda Blvd, La Puente, CA 91744, USA","4.3","53","","(626) 336-1404","Low"
"Susy's Hair Salon","2122 W Francisquito Ave, La Puente, CA 91746, USA","4.5","133","","(626) 813-1931","Low"
"Lucy's Barber&Beauty","1437 N Hacienda Blvd, La Puente, CA 91744, USA","4.3","50","","(626) 723-6995","Low"
"Ruby's Beauty Salon","818 N Hacienda Blvd, La Puente, CA 91744, USA","4.5","23","http://rubysalonlap.wixsite.com/website","(626) 934-1920","Low"
"Illusions Haircuts","667 Glendora Ave, La Puente, CA 91744, USA","4.8","56","","(626) 369-4980","Low"
