"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Ash Massage & Spa","2702b Mission St, San Francisco, CA 94110, USA","","","","(272) 235-8223","High"
"Yinfuyuan spa","3150 18th St #3f, San Francisco, CA 94110, USA","5","3","","(415) 279-0342","Medium"
"Golden Bell","2068 Mission St, San Francisco, CA 94110, USA","5","7","","(415) 552-6800","Medium"
"Idan Med Spa","3520 20th St suite c, San Francisco, CA 94110, USA","4.9","291","https://www.idanmedspa.com/","(628) 222-7522","Low"
"In-Symmetry Spa","650d Florida St, San Francisco, CA 94110, USA","4.8","75","http://www.insymmetryspa.com/","(415) 875-9020","Low"
"Cocoon Bay Area Day Spa - Noe Valley","3910 24th St, San Francisco, CA 94114, USA","4.9","253","https://cocoondayspa.com/noe-valley-day-spa/?utm_source=Local+Flow+Marketing_gbp&utm_medium=organic&utm_campaign=noe-valley","(415) 890-2966","Low"
"QUA SPA at SOMA GRAND","1162 Mission St, San Francisco, CA 94103, USA","4.5","131","https://www.quaspasf.com/","(415) 598-8686","Low"
"Shaped AF Body & Skin Lounge San Francisco","956 Valencia St, San Francisco, CA 94110, USA","4.8","207","http://www.shapedaf.com/","(415) 360-5219","Low"
"M Spa","2187 Market St, San Francisco, CA 94114, USA","4.8","91","http://www.mspasf.com/","(415) 556-9100","Low"
"Bhuddha Raksa Traditional Thai Massage","2462 Mission St, San Francisco, CA 94110, USA","5","492","http://www.raksasf.com/","(415) 449-9666","Low"
"Reboot Float & Cryo Spa","810 Valencia St, San Francisco, CA 94110, USA","4.8","160","http://rebootfloatspa.com/","(415) 654-5125","Low"
"Noe Valley Spa","4028 24th St A, San Francisco, CA 94114, USA","3.9","128","https://www.noevalleyspa.com/","(415) 821-6727","Low"
"La Nee Thai Massage","1453 Valencia St, San Francisco, CA 94110, USA","4.7","152","http://www.laneethai.com/","(415) 282-2236","Low"
"Mission Colonics","2460 Mission St Suite 215, San Francisco, CA 94110, USA","5","89","https://missioncolonics.janeapp.com/","(415) 810-3785","Low"
"Wela Thai Massage and Spa","2343 Market St, San Francisco, CA 94114, USA","5","2874","http://welathaimassageandspa.com/","(415) 874-9895","Low"
"Sophia's Beauty Lounge","3420 Cesar Chavez St, San Francisco, CA 94110, USA","4.8","139","http://sophiasbeautylounge.com/","(415) 285-9777","Low"
"Illuminata Skin Care","977 Valencia St, San Francisco, CA 94110, USA","5","12","http://illuminatasf.com/","(415) 971-3943","Low"
"Suchada Herbal Spa","2 Division St, San Francisco, CA 94103, USA","4.9","274","http://www.suchadathaimassage.com/","(415) 252-5020","Low"
"Bamford Wellness Spa","8 Mission St 8th floor, San Francisco, CA 94105, USA","4.7","19","https://www.1hotels.com/san-francisco/do/bamford-wellness-spa?utm_source=google-gbp&utm_medium=organic&utm_campaign=gbp","(415) 278-3789","Low"
"Saby Thai Massage","3159 Mission St, San Francisco, CA 94110, USA","4.8","87","https://www.sabythaimassage.com/","(415) 643-9000","Low"
