"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Tantric SF","1500 Eddy St, San Francisco, CA 94115","2.8","5","https://www.yelp.com/biz/tantric-sf-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(707) 400-5657","Medium"
"Pearl Spa & Sauna","1654 Post St, San Francisco, CA 94115","4.8","1258","https://www.yelp.com/biz/pearl-spa-and-sauna-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 580-7142","Low"
"Kabuki Springs & Spa","1750 Geary Blvd, San Francisco, CA 94115","4.1","1325","https://www.yelp.com/biz/kabuki-springs-and-spa-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 922-6000","Low"
"Cocoon Bay Area Day Spa - Noe Valley","3910 24th St, San Francisco, CA 94114","4.9","187","https://www.yelp.com/biz/cocoon-day-spa-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 890-2966","Low"
"Redmint","2044 Fillmore St, Fl 2, San Francisco, CA 94115","4.4","170","https://www.yelp.com/biz/redmint-san-francisco-23?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 888-8368","Low"
"Onsen","466 Eddy St, San Francisco, CA 94109","4","102","https://www.yelp.com/biz/onsen-san-francisco-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 441-4987","Low"
"Archimedes Banya","748 Innes Ave, San Francisco, CA 94124","3.9","729","https://www.yelp.com/biz/archimedes-banya-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 206-9000","Low"
"Earthbody -  San Francisco","534 Laguna St, San Francisco, CA 94102","4.7","593","https://www.yelp.com/biz/earthbody-san-francisco-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 552-7200","Low"
"Siam Orchid Traditional Thai Massage","39 Polk St, San Francisco, CA 94102","4.9","1352","https://www.yelp.com/biz/siam-orchid-traditional-thai-massage-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 872-9645","Low"
"Shalomtouch","405 Kains Ave, Albany, CA 94706","3.8","58","https://www.yelp.com/biz/shalomtouch-albany-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 787-5577","Low"
"In-Symmetry","650 Florida St, Ste D, San Francisco, CA 94110","4.7","313","https://www.yelp.com/biz/in-symmetry-san-francisco-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 875-9020","Low"
"Imperial Day Spa","1875 Geary Blvd, San Francisco, CA 94115","3.7","862","https://www.yelp.com/biz/imperial-day-spa-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 771-1114","Low"
"Thy Spa San Francisco","255 King St, Ste C, San Francisco, CA 94107","4.8","75","https://www.yelp.com/biz/thy-spa-san-francisco-san-francisco?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 649-3999","Low"
"M Spa","2187 Market St, San Francisco, CA 94114","4.4","125","https://www.yelp.com/biz/m-spa-san-francisco-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(415) 556-9100","Low"
