"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Highland Park Therapy","5619 N Figueroa St, Los Angeles, CA 90042","4","8","https://www.yelp.com/biz/highland-park-therapy-los-angeles-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","","Medium"
"Manale Physical & Occupational Therapy","5161 Pomona Blvd, Ste 108 & 109, Los Angeles, CA 90022","3.7","3","https://www.yelp.com/biz/manale-physical-and-occupational-therapy-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 895-7872","Medium"
"LA Sobadora B&H","3814 Whittier Blvd, East Los Angeles, CA 90023","2.6","10","https://www.yelp.com/biz/la-sobadora-b-and-h-east-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 385-4960","Medium"
"Teotihuacan Sobador","5352 Whittier Blvd, East Los Angeles, CA 90022","4","4","https://www.yelp.com/biz/teotihuacan-sobador-east-los-angeles-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 703-6869","Medium"
"QC Massage","874 N Garfield Ave, Montebello, CA 90640","3.1","21","https://www.yelp.com/biz/qc-massage-montebello-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 452-3772","Medium"
"Semillas Individual and Couples Therapy","3524 1/4 W Beverly Blvd, Montebello, CA 90640","5","18","https://www.yelp.com/biz/semillas-individual-and-couples-therapy-montebello?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 548-3118","Low"
"Take Root Therapy","3110 Los Feliz Blvd, Los Angeles, CA 90039","5","14","https://www.yelp.com/biz/take-root-therapy-los-angeles-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 388-5578","Low"
"Self Help Los Angeles","8531 Florence Ave, Ste 200, Downey, CA 90240","4.8","172","https://www.yelp.com/biz/self-help-los-angeles-downey?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 567-1930","Low"
"Relationships For Better","140 E Colorado Blvd, Ste D, Monrovia, CA 91016","5","18","https://www.yelp.com/biz/relationships-for-better-monrovia?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 272-4908","Low"
"Nifty After Fifty","249 S Mednik Ave, East Los Angeles, CA 90022","5","2","https://www.yelp.com/biz/nifty-after-fifty-east-los-angeles?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 264-8799","Low"
