"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Manale Physical & Occupational Therapy","5161 Pomona Blvd Suite 108 & 109, East Los Angeles, CA 90022, USA","3.6","20","http://manaleotpt.com/","(323) 895-7872","Medium"
"Mela Counseling Services Center","5723 Whittier Blvd, Los Angeles, CA 90022, USA","4.1","20","http://melacounseling.org/","(323) 721-6855","Medium"
"Associated Sports Therapy","880 S Atlantic Blvd #205, Los Angeles, CA 90022, USA","5","3","","(626) 282-3577","Medium"
"Los Angeles Therapy Network","2107 Panamint Dr, Los Angeles, CA 90065, USA","4","4","https://www.latherapynetwork.com/","(323) 829-3548","Medium"
"Alma Family Services","4701 E Cesar E Chavez Ave #1209, Los Angeles, CA 90022, USA","4.1","11","http://www.almafamilyservices.org/","(323) 881-3799","Medium"
"Boyle Heights Family Recovery Center","3421 E Olympic Blvd, Los Angeles, CA 90023, USA","5","4","","(323) 262-1786","Medium"
"East Side Therapy","2900 Riverside Dr # 1, Los Angeles, CA 90039, USA","5","24","https://www.eastsidetherapyla.com/","(818) 515-1431","Low"
"Los Angeles County Mental Health","4701 E Cesar E Chavez Ave, East Los Angeles, CA 90022, USA","5","7","http://dmh.lacounty.gov/","(323) 267-3400","Low"
"Open Space Therapy Collective","2904 Sunset Blvd Suite 6, Los Angeles, CA 90026, USA","5","11","https://openspacetherapycollective.com/","(213) 534-7013","Low"
"Abundance Therapy Center","4221 Wilshire Blvd Ste 230, Los Angeles, CA 90010, USA","4.4","173","http://www.abundancetherapycenter.com/","(213) 505-4307","Low"
"Los Angeles Performance Therapy","2119 Hyperion Ave, Los Angeles, CA 90027, USA","5","2","http://laperformancetherapy.com/","(323) 208-9330","Low"
"Semillas Individual and Couples Therapy","3524 1/4 W Beverly Blvd, Montebello, CA 90640, USA","5","54","http://www.semillasindividualncouplestherapy.com/","(626) 548-3118","Low"
"Downtown Los Angeles Therapy","520 S Grand Ave #680, Los Angeles, CA 90071, USA","5","5","http://somaticandemdrtherapy.com/","(626) 406-2385","Low"
"Los Angeles Therapy Center & Associates","2347 Edgewater Terrace, Los Angeles, CA 90039, USA","5","1","https://latherapy.info/","(323) 304-6735","Low"
"Trauma Counseling Center of Los Angeles","8170 Beverly Blvd #200, Los Angeles, CA 90048, USA","5","2","https://traumacounseling.com/","(855) 997-7101","Low"
"New U Therapy Center and Family Services","1100 Wilshire Blvd Ste 104, Los Angeles, CA 90017, USA","4.8","17","https://newutherapy.com/new-u-therapy-google-map-la/","(213) 698-5021","Low"
"Take Root Therapy","3110 Los Feliz Blvd, Los Angeles, CA 90039, USA","4.8","17","http://losangelesmftherapist.com/","(323) 388-5578","Low"
"Mission Harbor Behavioral Health","12114 Venice Blvd., Los Angeles, CA 90066, USA","4.9","19","https://sbtreatment.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-la","(310) 861-7335","Low"
"Bienestar Human Services","5326 E Beverly Blvd, Los Angeles, CA 90022, USA","4.7","142","http://www.bienestar.org/","(866) 590-6411","Low"
"Expansive Therapy CA","606 N Larchmont Blvd Ste 4B, Los Angeles, CA 90004, USA","4.5","13","http://expansivetherapy.com/","(917) 426-1521","Low"
