"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Heredia Therapy Group","13200 Crossroads Pkwy N, City of Industry, CA 91746","2.8","23","https://www.yelp.com/biz/heredia-therapy-group-city-of-industry-2?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 821-1491","Medium"
"Therapy Lounge Center","933 S Sunset Ave, Ste 205, West Covina, CA 91790","3.7","17","https://www.yelp.com/biz/therapy-lounge-center-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(310) 553-2695","Medium"
"Rehabcare Unlimited","16025 Gale Ave, Ste B10, City Industry, CA 91745","4.1","10","https://www.yelp.com/biz/rehabcare-unlimited-city-industry?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 333-3172","Medium"
"Through The Sea Marriage And Family Counseling","2227A E Garvey Ave N, West Covina, CA 91791","3.3","34","https://www.yelp.com/biz/through-the-sea-marriage-and-family-counseling-west-covina-7?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 489-9144","Medium"
"Anabolic Therapy","9919 Lawton St, South El Monte, CA 91733","5","2","https://www.yelp.com/biz/anabolic-therapy-south-el-monte?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 463-8822","Low"
"360 Wellness Physical Therapy","3629 Santa Anita Ave, Ste 203, El Monte, CA 91731","5","12","https://www.yelp.com/biz/360-wellness-physical-therapy-el-monte-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 856-5599","Low"
"Casabella Therapy Clinic","224 S Glendora Ave, Fl 2, Glendora, CA 91741","4.5","10","https://www.yelp.com/biz/casabella-therapy-clinic-glendora?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 318-5156","Low"
"Counseling Therapy with Jane Chiu, LMFT","2751 Saturn St, Ste B, Brea, CA 92821","4.5","15","https://www.yelp.com/biz/counseling-therapy-with-jane-chiu-lmft-brea?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(909) 833-0081","Low"
"360 Wellness Physical Therapy","501 S Vincent Ave, Ste 200, West Covina, CA 91790","4.5","61","https://www.yelp.com/biz/360-wellness-physical-therapy-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 727-6688","Low"
"DV Therapy","400 S Grand Ave, Covina, CA 91724","4.3","26","https://www.yelp.com/biz/dv-therapy-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(323) 426-6402","Low"
"123 Pediatric Therapy","855 N Lark Ellen Ave, Ste L, West Covina, CA 91791","4.8","16","https://www.yelp.com/biz/123-pediatric-therapy-west-covina?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 727-6282","Low"
"Sacred Vibrational Therapy","Whittier, CA 90601","5","18","https://www.yelp.com/biz/sacred-vibrational-therapy-whittier-3?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(562) 236-7460","Low"
"Emotional Health Coaching","5252 Orange Ave, Ste 106, Cypress, CA 90630","4.9","91","https://www.yelp.com/biz/emotional-health-coaching-cypress-4?adjust_creative=0EyRJ_fNdM0cFTzbMFl4gA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=0EyRJ_fNdM0cFTzbMFl4gA","(626) 901-1400","Low"
