"Name","Address","Rating","Reviews","Website","Phone","Lead Score"
"Healthy Massage Spa","824 N Hacienda Blvd, La Puente, CA 91744, USA","4","22","","(626) 230-5755","High"
"Enki Youth & Family Services","160 S 7th Ave, La Puente, CA 91746, USA","3.2","22","http://www.ehrs.com/","(626) 961-8971","Medium"
"La Puente Valley Community Mental Health Center","160 S 7th Ave, La Puente, CA 91746, USA","4","15","http://www.ehrs.com/","(626) 961-8971","Medium"
"RetailTherapy94","14261 Proctor Ave Unit #D, La Puente, CA 91746, USA","4.8","29","","(323) 919-6416","Medium"
"A Spa Massage","1371 N Hacienda Blvd, La Puente, CA 91744, USA","4.6","32","","(626) 699-2168","Medium"
"Central City Community Health Center","13742 Amar Rd, Bassett, CA 91746, USA","2.9","28","http://www.centralcityhealth.org/","(626) 919-0400","Medium"
"Rehabcare Unlimited","16025 Gale Ave STE B7, City of Industry, CA 91745, USA","4","7","http://rehabrcu.com/","(626) 333-3172","Medium"
"Twin Palms Recovery Center","130 S 1st St, La Puente, CA 91744, USA","4.1","15","https://www.bestduiprogram.com/","(626) 968-8875","Medium"
"Christina L. Barber, PSYD","160 S 7th Ave, La Puente, CA 91746, USA","","","http://www.ehrs.com/","(626) 961-8971","Medium"
"Life Focus Center","2211 S Hacienda Blvd # 103C, Hacienda Heights, CA 91745, USA","5","2","https://lifefocuscenter.com/","(626) 330-7990","Low"
"Bridges Individual and Family Counseling, Inc.","527 E Rowland St #112, Covina, CA 91723, USA","5","1","http://www.bridgescounselingcenter.net/","(626) 598-1090","Low"
"California Rehabilitation and Sports Therapy - Baldwin Park","14135 Francisquito Ave Suite 100, Baldwin Park, CA 91706, USA","4.9","115","https://www.prnpt.com/locations/3/california-rehabilitation-and-sports-therapy-baldwin-park/baldwin-park/location-details?utm_source=google&utm_medium=local&utm_campaign=GMB","(626) 430-2300","Low"
"Ah-Shih Wellness","15865 Gale Ave Suite D, Hacienda Heights, CA 91745, USA","4.8","109","","(626) 225-6542","Low"
"MENA Counseling Services","1084 N Hacienda Blvd, La Puente, CA 91744, USA","5","2","http://www.menacounseling.com/","(626) 678-4238","Low"
"VIDA Recovery Lounge","14911 Don Julian Rd, City of Industry, CA 91746, USA","4.6","9","https://vidarecoverylounge.com/","(213) 415-3884","Low"
"ACES ABA - Autism Therapy Center","15852 Gale Ave, Hacienda Heights, CA 91745, USA","4.6","29","https://www.acesaba.com/location-cityofindustry/","(626) 479-3441","Low"
"HNGH Health Spa","15463 Valley Blvd, City of Industry, CA 91746, USA","5","1","https://newlinead.wixsite.com/hnghmassage","(626) 531-2288","Low"
"en Paz Massage","15913 Amar Rd unit b, La Puente, CA 91744, USA","5","9","https://enpazmassage.com/","(626) 346-8456","Low"
"Concentra Urgent Care","17487 Hurley St, City of Industry, CA 91744, USA","4.3","855","http://www.concentra.com/?utm_source=Yext&utm_medium=Organic&utm_campaign=Homepage%20Link","(626) 965-0959","Low"
"In Good Hands Speech Therapy","2123 S Hacienda Blvd, Hacienda Heights, CA 91745, USA","5","5","https://www.ingoodhandsspeech.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12684045415837244848","(626) 820-9696","Low"
